"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.180800000E-1,8.176448822E0,1.460507631E0,1.376708031E0
1.200810000E-1,8.176448822E0,1.460507631E0,1.376708031E0
1.240803330E-1,1.274711895E1,-4.142095447E-1,1.261782765E0
1.260817330E-1,1.249093151E1,-3.471698463E-1,1.079817891E0
1.280828990E-1,1.238558388E1,-3.351984620E-1,1.010383964E0
1.300841840E-1,1.214136791E1,-2.537931204E-1,8.643332124E-1
1.320854340E-1,1.198095131E1,-1.819648892E-1,7.254652381E-1
1.340866560E-1,1.189954567E1,-1.245022863E-1,6.751855016E-1
1.360900560E-1,1.176786041E1,-5.985686928E-2,5.842030644E-1
1.380914190E-1,1.167208958E1,9.577099234E-3,5.195576549E-1
1.400927520E-1,1.163856983E1,4.549122229E-2,5.147690773E-1
1.420940590E-1,1.155477047E1,7.422251999E-2,5.267404318E-1
1.440949870E-1,1.150927925E1,9.337671846E-2,5.387118459E-1
1.460962530E-1,1.139195919E1,1.292908341E-1,6.225114465E-1
1.480988780E-1,1.127224541E1,1.580221355E-1,7.398309112E-1
1.501002300E-1,1.120760059E1,1.532335877E-1,7.948992252E-1
1.521015630E-1,1.101605797E1,1.652049571E-1,9.792584181E-1
1.541028780E-1,1.084367085E1,1.628106833E-1,1.177983165E0
1.561041780E-1,1.075268841E1,1.484450400E-1,1.297696948E0
1.581054630E-1,1.057072353E1,1.005595401E-1,1.563461423E0
1.601067810E-1,1.041988373E1,9.337671846E-2,1.838803053E0
1.621080850E-1,1.033129597E1,5.746259540E-2,1.965699673E0
1.641094180E-1,1.016369629E1,4.549122229E-2,2.229069948E0
1.661107380E-1,1.009905148E1,4.070267081E-2,2.360754967E0
1.681119300E-1,9.967366219E0,9.577099234E-3,2.588211060E0
1.701132260E-1,9.881172180E0,-2.633702382E-2,2.813272953E0
1.721145110E-1,9.802161217E0,-1.675992459E-2,2.894678354E0
1.741158550E-1,9.703995705E0,-2.633702382E-2,3.069460392E0
1.761171880E-1,9.586676598E0,-1.915419847E-2,3.198751211E0
1.781185210E-1,9.548367500E0,-1.675992459E-2,3.239453793E0
1.801250870E-1,9.459779739E0,2.633702382E-2,3.292127848E0
1.821266870E-1,9.371191978E0,5.267404765E-2,3.304099321E0
1.841280530E-1,9.371191978E0,9.098244458E-2,3.294522047E0
1.861293530E-1,9.318517685E0,1.604164094E-1,3.263396502E0
1.881307190E-1,9.306546211E0,2.035133541E-1,3.213116884E0
1.901320520E-1,9.287391663E0,2.442160249E-1,3.114951611E0
1.921334180E-1,9.251478195E0,2.968900800E-1,3.000026226E0
1.941347510E-1,9.241900444E0,2.992843390E-1,2.942563772E0
1.961354170E-1,9.196409225E0,3.519583941E-1,2.796513081E0
1.981367500E-1,9.162889481E0,3.663240373E-1,2.664827824E0
2.001380830E-1,9.153312683E0,3.711125851E-1,2.571451187E0
2.021394490E-1,9.110215187E0,4.022381604E-1,2.430188894E0
2.041409490E-1,9.055147171E0,3.926610649E-1,2.279349566E0
2.061423150E-1,9.021627426E0,3.782954216E-1,2.197944164E0
2.081429810E-1,8.992896080E0,3.687183261E-1,2.037527800E0
2.101443140E-1,8.935433388E0,3.543526828E-1,1.982459545E0
2.121456470E-1,8.947404861E0,3.423812985E-1,1.850774407E0
