"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
0.000000000E0,9.804554939E0,-1.185166001E0,1.450930476E0
3.973416000E-3,6.553130150E0,-5.267404318E-1,7.996878028E-1
7.958216000E-3,8.789382935E0,-1.019961119E0,1.218685865E0
1.194748300E-2,9.186832428E0,-1.122914910E0,1.302485466E0
1.593956000E-2,9.342460632E0,-1.149251938E0,1.386285067E0
1.993354400E-2,9.414288521E0,-1.156434774E0,1.460507631E0
2.392879000E-2,9.464568138E0,-1.146857619E0,1.573038578E0
2.792497700E-2,9.517242432E0,-1.130097747E0,1.675992370E0
3.192194300E-2,9.557945251E0,-1.094183564E0,1.776551962E0
3.591947700E-2,9.627379417E0,-1.065452337E0,1.886688590E0
3.991747400E-2,9.653716087E0,-1.036720991E0,1.936968327E0
4.391589700E-2,9.644139290E0,-1.017566800E0,1.953728199E0
4.791464000E-2,9.672870636E0,-1.000806928E0,1.917814136E0
5.191365600E-2,9.711178780E0,-9.984126091E-1,1.903448462E0
5.591259700E-2,9.694418907E0,-9.936240315E-1,1.867534399E0
5.791393000E-2,9.696812630E0,-9.768640995E-1,1.810071707E0
5.991503000E-2,9.696812630E0,-9.720755816E-1,1.793311834E0
6.191636300E-2,9.680052757E0,-9.816526771E-1,1.755003452E0
6.391769600E-2,9.670475960E0,-9.696813226E-1,1.726272106E0
6.591896200E-2,9.660899162E0,-9.672870040E-1,1.714300752E0
6.792029500E-2,9.660899162E0,-9.792584181E-1,1.685569525E0
6.992162800E-2,9.644139290E0,-9.720755816E-1,1.678386688E0
7.192766100E-2,9.675264359E0,-9.768640995E-1,1.666415215E0
7.392872700E-2,9.720755577E0,-9.624984860E-1,1.649655342E0
7.593009300E-2,9.718361855E0,-9.457385540E-1,1.630501151E0
7.793142600E-2,9.680052757E0,-9.553156495E-1,1.558672905E0
7.993275900E-2,9.668081284E0,-9.577099085E-1,1.503604531E0
8.193412500E-2,9.658504486E0,-9.696813226E-1,1.460507631E0
8.393545800E-2,9.653716087E0,-9.744698405E-1,1.412622094E0
8.593679100E-2,9.668081284E0,-9.792584181E-1,1.388679385E0
8.793815700E-2,9.665687561E0,-9.816526771E-1,1.331216812E0
8.993949000E-2,9.636956215E0,-1.005595446E0,1.283331275E0
9.194082300E-2,9.617801666E0,-1.022355318E0,1.276148438E0
9.394218900E-2,9.624984741E0,-1.053480864E0,1.242628574E0
9.594352200E-2,9.593858719E0,-1.087000728E0,1.209108829E0
9.794485500E-2,9.567522049E0,-1.101366401E0,1.216291547E0
9.994622100E-2,9.565128326E0,-1.137280583E0,1.247417212E0
1.019475540E-1,9.617801666E0,-1.115732074E0,1.256994247E0
1.039488870E-1,9.627379417E0,-1.108549237E0,1.300091267E0
1.059502530E-1,9.613013268E0,-1.075029373E0,1.359948039E0
1.079515860E-1,9.656110764E0,-1.075029373E0,1.388679385E0
1.099529190E-1,9.668081284E0,-1.041509509E0,1.474873304E0
1.119539850E-1,9.689630508E0,-1.053480864E0,1.532335877E0
1.139556510E-1,9.687235832E0,-1.048692346E0,1.575432777E0
1.159569840E-1,9.689630508E0,-1.063058019E0,1.637683988E0
1.179583500E-1,9.656110764E0,-1.072635174E0,1.675992370E0
1.199599500E-1,9.622590065E0,-1.096577883E0,1.692752242E0
1.219612830E-1,9.593858719E0,-1.151646137E0,1.721483588E0
1.239626490E-1,9.526819229E0,-1.185166001E0,1.755003452E0
1.259639820E-1,9.502876282E0,-1.213897347E0,1.769369125E0
