"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
2.586261640E-1,2.385062277E-1,-2.915433645E-1,-5.028276145E-2
2.606276640E-1,2.507235408E-1,-3.251409531E-1,-5.150449276E-2
2.626289970E-1,2.562213242E-1,-3.483538628E-1,-5.578054860E-2
2.646304970E-1,2.635516822E-1,-3.599602878E-1,-5.211535469E-2
2.666318970E-1,2.721038163E-1,-3.721775711E-1,-5.761314556E-2
2.686332300E-1,2.776015997E-1,-3.788971007E-1,-5.394795164E-2
2.706346580E-1,2.757690251E-1,-3.807297051E-1,-5.944573879E-2
2.726360330E-1,2.849319875E-1,-3.691232502E-1,-6.005660444E-2
2.746381440E-1,2.867645919E-1,-3.587385416E-1,-6.005660444E-2
2.766395440E-1,2.849319875E-1,-3.452995420E-1,-6.005660444E-2
2.786409070E-1,2.769907117E-1,-3.159779906E-1,-6.433266401E-2
2.806422400E-1,2.776015997E-1,-2.994846106E-1,-6.494352967E-2
2.826436240E-1,2.617191076E-1,-2.628327012E-1,-6.494352967E-2
2.846449810E-1,2.507235408E-1,-2.157960832E-1,-6.983045489E-2
2.866457140E-1,2.440040112E-1,-1.968592703E-1,-7.166304439E-2
2.886470890E-1,2.250671834E-1,-1.498226523E-1,-7.777170092E-2
2.906484410E-1,2.116281539E-1,-9.789909422E-2,-8.204775304E-2
2.926498290E-1,2.036869079E-1,-8.079487085E-2,-8.388034999E-2
2.946511970E-1,1.920804679E-1,-4.841900989E-2,-8.388034999E-2
2.966525470E-1,1.884152889E-1,-2.826045826E-2,-8.571294695E-2
2.986539270E-1,1.798631549E-1,-2.520613372E-2,-8.082602918E-2
3.006552900E-1,1.749762446E-1,-3.253651410E-2,-8.388034999E-2
3.026566370E-1,1.682567298E-1,-3.742343932E-2,-8.326948434E-2
3.046579700E-1,1.639806628E-1,-5.391679704E-2,-8.143688738E-2
3.066593300E-1,1.590937525E-1,-6.491237879E-2,-8.449121565E-2
3.086606760E-1,1.548176855E-1,-6.613410264E-2,-8.510208130E-2
3.106620460E-1,1.511524916E-1,-7.774055004E-2,-8.388034999E-2
3.126634030E-1,1.548176855E-1,-8.995784819E-2,-7.838255912E-2
3.146647470E-1,1.578720063E-1,-9.117957950E-2,-7.838255912E-2
3.166661130E-1,1.627589464E-1,-8.751438558E-2,-7.716083527E-2
3.186674460E-1,1.694784611E-1,-9.117957950E-2,-7.227391005E-2
3.206687790E-1,1.713110507E-1,-8.446005732E-2,-7.349564135E-2
3.226701450E-1,1.823066324E-1,-8.568179607E-2,-7.593910396E-2
3.246714780E-1,1.853609532E-1,-9.056871384E-2,-8.204775304E-2
3.266728110E-1,1.975782663E-1,-9.484477341E-2,-8.693467826E-2
3.286741770E-1,2.104064226E-1,-1.168359220E-1,-8.693467826E-2
3.306751770E-1,2.201802731E-1,-1.259988993E-1,-8.510208130E-2
3.326765100E-1,2.421714216E-1,-1.553204358E-1,-8.143688738E-2
3.346776430E-1,2.708820701E-1,-1.907506138E-1,-8.571294695E-2
3.366789760E-1,2.855428457E-1,-2.157960832E-1,-8.510208130E-2
3.386803090E-1,3.142535090E-1,-2.701630890E-1,-8.876727521E-2
3.406816750E-1,3.460185230E-1,-3.306387663E-1,-9.304332733E-2
3.426830080E-1,3.612901270E-1,-3.507972956E-1,-9.304332733E-2
3.446843410E-1,3.820595741E-1,-4.027208686E-1,-9.487592429E-2
3.466860070E-1,4.028289914E-1,-4.436488450E-1,-9.609765559E-2
3.486873400E-1,4.144354165E-1,-4.674725533E-1,-9.487592429E-2
3.506886730E-1,4.248201251E-1,-4.980158508E-1,-9.609765559E-2
3.526900060E-1,4.315396547E-1,-5.138983130E-1,-9.304332733E-2
3.546913390E-1,4.358156919E-1,-5.334460735E-1,-9.182160348E-2
3.566926720E-1,4.437569678E-1,-5.456633568E-1,-9.426505864E-2
3.586940050E-1,4.425352216E-1,-5.444415808E-1,-9.670852125E-2
