"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.340900000E-1,9.589070320E0,-3.615354896E-1,1.362342358E0
1.360915000E-1,9.589070320E0,-3.615354896E-1,1.362342358E0
1.380928330E-1,9.589070320E0,-3.615354896E-1,1.362342358E0
1.400940830E-1,8.657697678E0,-3.687183261E-1,-4.142095447E-1
1.420954830E-1,8.633754730E0,-3.687183261E-1,-4.022381604E-1
1.440968160E-1,8.588263512E0,-3.806896806E-1,-3.974496126E-1
1.460981010E-1,8.533195496E0,-3.926610649E-1,-3.926610649E-1
1.481004760E-1,8.502069473E0,-4.070267081E-1,-3.782954216E-1
1.501041420E-1,8.444606781E0,-4.142095447E-1,-4.022381604E-1
1.521044420E-1,8.415876389E0,-4.213923812E-1,-4.046324492E-1
1.541058050E-1,8.365595818E0,-4.237866402E-1,-4.046324492E-1
1.561063880E-1,8.308133125E0,-4.261809289E-1,-4.189980924E-1
1.581076950E-1,8.277008057E0,-4.261809289E-1,-4.166038036E-1
1.601111230E-1,8.226728439E0,-4.381522834E-1,-4.501236677E-1
1.621124560E-1,8.130957603E0,-4.620950520E-1,-4.549122155E-1
1.641137680E-1,8.085466385E0,-4.692778587E-1,-4.597007632E-1
1.661151200E-1,8.001666069E0,-4.764606953E-1,-4.980091453E-1
1.681164530E-1,7.917866707E0,-4.740664065E-1,-5.195576549E-1
1.701177680E-1,7.893924236E0,-5.004034638E-1,-5.411061049E-1
1.721191180E-1,7.834067345E0,-5.027977228E-1,-5.794144869E-1
1.741203560E-1,7.774210453E0,-5.171633363E-1,-6.201171875E-1
1.761217190E-1,7.733507633E0,-5.267404318E-1,-6.201171875E-1
1.781230660E-1,7.664073467E0,-5.387118459E-1,-6.799740195E-1
1.801243990E-1,7.620976925E0,-5.506832004E-1,-7.039167881E-1
1.821257590E-1,7.544359684E0,-5.578660369E-1,-7.326480746E-1
1.841267200E-1,7.486897469E0,-6.129343510E-1,-7.661679387E-1
1.861280530E-1,7.448588848E0,-5.985686779E-1,-7.805336118E-1
1.881294100E-1,7.398309231E0,-6.105400920E-1,-8.212362528E-1
1.901307540E-1,7.333663940E0,-6.057515144E-1,-8.667274714E-1
1.921320870E-1,7.307326794E0,-6.273000240E-1,-8.906702399E-1
1.941334530E-1,7.240286827E0,-6.536370516E-1,-9.361614585E-1
1.961345860E-1,7.187613010E0,-6.584255695E-1,-9.696813226E-1
1.981359190E-1,7.166064739E0,-6.799740195E-1,-9.840469360E-1
2.001372850E-1,7.091842175E0,-6.919454336E-1,-1.019961119E0
2.021382850E-1,7.072687626E0,-7.039167881E-1,-1.031932473E0
2.041396180E-1,7.020013809E0,-7.134938836E-1,-1.096577883E0
2.061409840E-1,6.979310989E0,-7.278595567E-1,-1.144463301E0
2.081420500E-1,6.962551117E0,-7.302538157E-1,-1.142069101E0
2.101426830E-1,6.914665699E0,-7.565908432E-1,-1.189954638E0
2.121443830E-1,6.871568680E0,-7.685621977E-1,-1.199531674E0
2.141457160E-1,6.845231533E0,-7.853221297E-1,-1.218685865E0
2.161473490E-1,6.814105988E0,-8.044763207E-1,-1.254600048E0
2.181487150E-1,6.771008968E0,-8.284190893E-1,-1.302485466E0
2.201490810E-1,6.763826370E0,-8.332076073E-1,-1.328822494E0
2.221504140E-1,6.732700825E0,-8.332076073E-1,-1.338399649E0
2.241517800E-1,6.725517750E0,-8.547561169E-1,-1.352765322E0
2.261531130E-1,6.720729351E0,-8.786988258E-1,-1.359948039E0
2.281544460E-1,6.708757877E0,-8.715160489E-1,-1.405439258E0
2.301558120E-1,6.713546753E0,-8.739103079E-1,-1.441353440E0
2.321571450E-1,6.742278099E0,-8.810931444E-1,-1.462901950E0
2.341584780E-1,6.773403645E0,-8.715160489E-1,-1.501210332E0
2.361598110E-1,6.794951916E0,-8.786988258E-1,-1.527547359E0
2.381611440E-1,6.821289062E0,-8.739103079E-1,-1.568249941E0
2.401624770E-1,6.881145954E0,-8.595446348E-1,-1.642472506E0
2.421638100E-1,6.890722752E0,-8.595446348E-1,-1.664021015E0
2.441654760E-1,6.964945316E0,-8.403904438E-1,-1.692752242E0
2.461668420E-1,7.027196407E0,-8.451790214E-1,-1.745426297E0
2.481681750E-1,7.079870701E0,-8.427847624E-1,-1.783734679E0
2.501695080E-1,7.149304390E0,-8.475732803E-1,-1.829225898E0
2.521708740E-1,7.170853138E0,-8.379961848E-1,-1.845985889E0
2.541722070E-1,7.242681503E0,-8.212362528E-1,-1.884294271E0
2.561737400E-1,7.314509392E0,-7.853221297E-1,-1.929785490E0
2.581751060E-1,7.350423813E0,-7.685621977E-1,-1.936968327E0
2.601764390E-1,7.446194649E0,-7.302538157E-1,-1.963305354E0
2.621781050E-1,7.544359684E0,-7.326480746E-1,-1.994430900E0
2.641794710E-1,7.585062504E0,-7.350423932E-1,-1.994430900E0
2.661812370E-1,7.668862343E0,-6.943396926E-1,-2.025556564E0
