"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,-1.866804063E-2,-7.521358132E-1,3.401664272E-2
2.001500000E-3,-2.111150324E-2,-7.466380000E-1,3.890356421E-2
4.002833000E-3,-2.233323269E-2,-7.331990004E-1,3.157318011E-2
6.004083000E-3,-2.294410020E-2,-7.099860907E-1,4.256875440E-2
8.044883000E-3,-2.477669530E-2,-7.002122402E-1,3.768183663E-2
1.004621600E-2,-2.294410020E-2,-6.941035986E-1,3.768183663E-2
1.204750100E-2,-3.027448058E-2,-6.831079721E-1,3.951442987E-2
1.404887600E-2,-2.783101983E-2,-6.653928757E-1,3.890356421E-2
1.605020900E-2,-2.538755909E-2,-6.537864804E-1,3.890356421E-2
1.805150900E-2,-3.271793947E-2,-6.415691376E-1,4.317962006E-2
2.005287200E-2,-2.722015604E-2,-6.385148168E-1,3.829269856E-2
2.206870500E-2,-3.271793947E-2,-6.293518543E-1,4.745567590E-2
2.406932000E-2,-3.638313338E-2,-6.238540411E-1,4.562308267E-2
2.607067700E-2,-3.577227145E-2,-6.128585339E-1,3.829269856E-2
2.807201000E-2,-2.966361679E-2,-6.073607206E-1,4.501221329E-2
3.007269700E-2,-3.393967450E-2,-6.030846834E-1,4.256875440E-2
3.207404900E-2,-3.271793947E-2,-6.018629074E-1,4.134702682E-2
3.407627100E-2,-3.821573034E-2,-5.957542658E-1,3.523837402E-2
3.607763900E-2,-3.638313338E-2,-5.945325494E-1,3.951442987E-2
3.807898900E-2,-3.516140208E-2,-5.951434374E-1,4.073616117E-2
4.008032200E-2,-4.004832357E-2,-5.902564526E-1,3.707096726E-2
4.208168500E-2,-3.943746164E-2,-5.908674002E-1,3.584923968E-2
4.408581500E-2,-3.943746164E-2,-5.902564526E-1,3.401664272E-2
4.608714800E-2,-4.127005860E-2,-5.896456242E-1,3.401664272E-2
4.808850800E-2,-4.004832357E-2,-5.933107734E-1,3.279491141E-2
5.008985400E-2,-4.004832357E-2,-5.908674002E-1,2.851885371E-2
5.209118700E-2,-4.310265183E-2,-5.914782286E-1,2.974058501E-2
5.409261500E-2,-4.004832357E-2,-5.939217210E-1,3.218404949E-2
5.609395900E-2,-4.432438314E-2,-5.951434374E-1,2.546452917E-2
5.809529200E-2,-3.760486469E-2,-6.012520790E-1,2.485366166E-2
6.009665800E-2,-4.127005860E-2,-5.945325494E-1,2.668625861E-2
6.209802400E-2,-3.699399903E-2,-6.006411910E-1,2.424279787E-2
6.409935700E-2,-3.271793947E-2,-6.043063998E-1,2.241020277E-2
6.610072300E-2,-3.943746164E-2,-6.073607206E-1,1.630154997E-2
7.009682200E-2,-3.271793947E-2,-6.207997203E-1,1.569068432E-2
7.209818800E-2,-3.271793947E-2,-6.250758171E-1,1.630154997E-2
7.409952100E-2,-3.210707754E-2,-6.317953467E-1,1.752328128E-2
7.610085400E-2,-3.516140208E-2,-6.379039884E-1,1.202549320E-2
7.810222000E-2,-3.210707754E-2,-6.513429880E-1,1.263635792E-2
8.010355300E-2,-3.332880884E-2,-6.562299132E-1,1.813414507E-2
8.410075200E-2,-4.615698010E-2,-6.751667261E-1,1.263635792E-2
8.610208500E-2,-4.493524879E-2,-6.843296885E-1,1.324722357E-2
8.810341800E-2,-4.310265183E-2,-6.989904642E-1,1.996674202E-2
9.010511800E-2,-4.615698010E-2,-7.142621279E-1,1.752328128E-2
9.210645100E-2,-4.921130463E-2,-7.173164487E-1,1.569068432E-2
9.410725100E-2,-5.104389787E-2,-7.331990004E-1,1.935587637E-2
9.610858400E-2,-5.409822613E-2,-7.405293584E-1,1.935587637E-2
9.811061700E-2,-5.531995744E-2,-7.515249252E-1,2.118847333E-2
1.001126830E-1,-5.470909178E-2,-7.667965889E-1,2.241020277E-2
1.021140160E-1,-5.715255439E-2,-7.784029245E-1,2.363193408E-2
1.061152820E-1,-5.837428197E-2,-8.052810431E-1,2.607539296E-2
1.081166150E-1,-6.203947589E-2,-8.138331771E-1,2.485366166E-2
1.101179480E-1,-5.531995744E-2,-8.272722363E-1,2.424279787E-2
1.121193140E-1,-5.043303221E-2,-8.474307060E-1,2.424279787E-2
1.141207140E-1,-5.409822613E-2,-8.492633700E-1,2.302106842E-2
1.161220470E-1,-4.982217029E-2,-8.596480489E-1,2.607539296E-2
1.181234130E-1,-4.737870768E-2,-8.743088245E-1,2.241020277E-2
1.201254460E-1,-4.554611072E-2,-8.822500706E-1,2.179933712E-2
1.221267460E-1,-4.432438314E-2,-8.950782418E-1,2.118847333E-2
1.241279790E-1,-4.188092053E-2,-8.932456374E-1,2.302106842E-2
1.261293120E-1,-4.188092053E-2,-9.103498459E-1,1.874501072E-2
1.281306450E-1,-4.127005860E-2,-9.164584875E-1,1.569068432E-2
1.301320110E-1,-3.882659599E-2,-9.219563007E-1,1.630154997E-2
1.321333440E-1,-3.760486469E-2,-9.353953004E-1,1.202549320E-2
1.341346770E-1,-3.516140208E-2,-9.494452477E-1,1.141462848E-2
1.361360430E-1,-3.699399903E-2,-9.518887401E-1,5.916840397E-3
1.381373760E-1,-3.760486469E-2,-9.641060233E-1,1.141462848E-2
1.401387090E-1,-3.149621189E-2,-9.836536646E-1,9.582032450E-3
1.421400750E-1,-3.760486469E-2,-9.860971570E-1,6.527706049E-3
1.441414080E-1,-3.393967450E-2,-9.958710074E-1,5.305975210E-3
1.461427410E-1,-3.210707754E-2,-1.008699179E0,2.862514462E-3
1.481443740E-1,-2.844188549E-2,-1.016029596E0,1.640783972E-3
1.501464070E-1,-2.722015604E-2,-1.025803328E0,4.190535401E-4
1.521474070E-1,-2.660928853E-2,-1.027635932E0,1.640783972E-3
1.541487730E-1,-1.988977194E-2,-1.031912088E0,-1.413542195E-3
1.561498060E-1,-1.805717684E-2,-1.038631558E0,4.190535401E-4
1.581504390E-1,-1.622457989E-2,-1.038020730E0,-1.413542195E-3
1.601520390E-1,-7.061602082E-3,-1.037409782E0,-4.467868246E-3
1.621533720E-1,-5.839871708E-3,-1.036798954E0,-8.133059368E-3
1.641547050E-1,-3.396410728E-3,-1.033744574E0,-8.133059368E-3
1.661553380E-1,2.712241607E-3,-1.023359895E0,-6.300464272E-3
1.681566710E-1,6.988298614E-3,-1.021527290E0,-7.522194646E-3
1.701580040E-1,9.431759827E-3,-1.019083858E0,-3.857003292E-3
1.721593370E-1,1.431868132E-2,-1.000757933E0,-8.743925020E-3
1.741604700E-1,1.981646940E-2,-9.940384030E-1,-4.467868246E-3
1.761618360E-1,1.798387244E-2,-9.787667990E-1,-1.057652105E-2
1.781631690E-1,2.470339090E-2,-9.604408145E-1,-8.133059368E-3
1.801638020E-1,2.592512220E-2,-9.476126432E-1,-6.911329459E-3
1.821651680E-1,2.897944674E-2,-9.225671887E-1,-6.300464272E-3
1.841663010E-1,3.508809954E-2,-9.048520923E-1,-1.179825142E-2
1.861676340E-1,3.569896147E-2,-8.883587122E-1,-7.522194646E-3
1.881690000E-1,4.669453949E-2,-8.724762797E-1,-5.078733433E-3
1.901703330E-1,4.608367383E-2,-8.431547284E-1,-3.246137872E-3
1.921716660E-1,4.913800210E-2,-8.254395723E-1,-2.635272685E-3
1.941730320E-1,4.791627079E-2,-8.016158342E-1,-2.635272685E-3
1.961741650E-1,5.463578925E-2,-7.906203270E-1,-2.635272685E-3
1.981754980E-1,5.707925186E-2,-7.612987757E-1,1.029918785E-3
2.001768640E-1,5.952271074E-2,-7.356423736E-1,2.862514462E-3
2.021778640E-1,5.769011378E-2,-7.246468663E-1,5.916840397E-3
2.041791970E-1,6.318789721E-2,-7.014339566E-1,7.749436423E-3
2.061805630E-1,6.196616963E-2,-6.788319945E-1,8.360302076E-3
2.081816290E-1,6.440962851E-2,-6.666146517E-1,1.141462848E-2
2.101822620E-1,6.929655373E-2,-6.501212716E-1,1.507981960E-2
2.121839620E-1,6.624222547E-2,-6.342387795E-1,2.179933712E-2
2.141852950E-1,6.929655373E-2,-6.220214963E-1,2.179933712E-2
2.161869280E-1,6.502050161E-2,-6.091933250E-1,2.546452917E-2
2.181882940E-1,6.807482243E-2,-5.963650942E-1,2.790798992E-2
2.201886600E-1,7.051828504E-2,-5.890347362E-1,3.218404949E-2
2.221899930E-1,6.807482243E-2,-5.786499977E-1,4.073616117E-2
2.241913590E-1,7.174001634E-2,-5.804826617E-1,4.073616117E-2
2.261926920E-1,6.807482243E-2,-5.755956769E-1,4.562308267E-2
2.281940250E-1,6.318789721E-2,-5.713196397E-1,5.661865696E-2
2.301953910E-1,6.746395677E-2,-5.743739605E-1,5.967298150E-2
2.321967240E-1,7.112915069E-2,-5.725413561E-1,6.639250368E-2
2.341980570E-1,6.929655373E-2,-5.768174529E-1,7.677720487E-2
2.361993900E-1,7.235087454E-2,-5.780391693E-1,7.677720487E-2
2.382007230E-1,6.685309857E-2,-5.865913033E-1,8.166413009E-2
2.402020560E-1,6.685309857E-2,-5.939217210E-1,9.265970439E-2
2.422033890E-1,6.746395677E-2,-5.994194150E-1,9.876835346E-2
2.442050550E-1,6.440962851E-2,-6.085824370E-1,1.036552787E-1
2.462064210E-1,6.135530397E-2,-6.134693623E-1,1.079313383E-1
2.482077540E-1,6.074443832E-2,-6.287409663E-1,1.103747934E-1
2.502090870E-1,6.013357639E-2,-6.458452344E-1,1.158725843E-1
2.522104530E-1,5.646838248E-2,-6.525647640E-1,1.140399873E-1
2.542117860E-1,5.646838248E-2,-6.647820473E-1,1.238138378E-1
2.562133190E-1,5.463578925E-2,-6.855514646E-1,1.268681586E-1
2.582146850E-1,5.707925186E-2,-6.941035986E-1,1.329768002E-1
2.602160180E-1,5.158146471E-2,-7.160947323E-1,1.341985464E-1
2.622176840E-1,5.341405794E-2,-7.423619628E-1,1.409180611E-1
2.642190500E-1,5.035972968E-2,-7.564117908E-1,1.427506506E-1
2.662208160E-1,4.974886775E-2,-7.857333422E-1,1.427506506E-1
2.682221490E-1,4.974886775E-2,-8.132222891E-1,1.415289342E-1
2.702235150E-1,4.913800210E-2,-8.248287439E-1,1.451941282E-1
2.722248480E-1,5.341405794E-2,-8.553720117E-1,1.445832551E-1
2.742308810E-1,4.547280818E-2,-8.828609586E-1,1.445832551E-1
2.762322470E-1,5.341405794E-2,-9.036303759E-1,1.390854716E-1
2.782332800E-1,5.035972968E-2,-9.378387928E-1,1.409180611E-1
2.802346130E-1,5.097059533E-2,-9.549430609E-1,1.348094046E-1
2.822359790E-1,4.852713272E-2,-9.824319482E-1,1.366419941E-1
2.842373120E-1,5.097059533E-2,-1.014196992E0,1.329768002E-1
2.862386450E-1,5.035972968E-2,-1.028857827E0,1.299224794E-1
2.882400110E-1,5.219232664E-2,-1.061844468E0,1.268681586E-1
2.902413440E-1,5.219232664E-2,-1.086889863E0,1.164834499E-1
2.922426770E-1,5.341405794E-2,-1.098496318E0,1.207595095E-1
2.942441100E-1,4.974886775E-2,-1.130261302E0,1.152617186E-1
2.962454430E-1,5.524665490E-2,-1.144311309E0,1.091530696E-1
2.982467760E-1,6.013357639E-2,-1.169967651E0,1.073204726E-1
3.002481420E-1,5.891184136E-2,-1.195013046E0,9.937922657E-2
3.022494750E-1,6.563135982E-2,-1.205397844E0,9.449230134E-2
3.042508080E-1,6.074443832E-2,-1.223723769E0,8.838365227E-2
3.062521410E-1,6.563135982E-2,-1.243882298E0,7.372288406E-2
3.082534740E-1,6.868569553E-2,-1.257932305E0,7.372288406E-2
3.102548070E-1,7.662694156E-2,-1.259764791E0,6.822510064E-2
3.122561400E-1,8.151385188E-2,-1.279923320E0,5.722952262E-2
3.142574730E-1,8.395732194E-2,-1.281755924E0,5.967298150E-2
3.162588390E-1,9.189856797E-2,-1.300692797E0,5.539692566E-2
3.182606050E-1,8.823337406E-2,-1.311077476E0,5.356433243E-2
3.202619380E-1,9.189856797E-2,-1.318407893E0,5.234259740E-2
3.222629710E-1,9.922894835E-2,-1.320851326E0,5.173173547E-2
3.242643040E-1,1.041158736E-1,-1.331236124E0,4.867740721E-2
3.262652040E-1,1.071701944E-1,-1.341620684E0,4.989913851E-2
3.282663040E-1,1.090027913E-1,-1.355670691E0,4.867740721E-2
3.302676370E-1,1.090027913E-1,-1.361779332E0,5.051000044E-2
3.322690700E-1,1.181657687E-1,-1.365444422E0,4.989913851E-2
3.362677690E-1,1.187766418E-1,-1.383770347E0,5.051000044E-2
3.382694020E-1,1.212200969E-1,-1.401485443E0,4.928827286E-2
3.402707680E-1,1.316048056E-1,-1.414924502E0,4.928827286E-2
3.422721010E-1,1.291613430E-1,-1.411870241E0,5.234259740E-2
3.442734340E-1,1.291613430E-1,-1.417978883E0,5.356433243E-2
3.462748000E-1,1.316048056E-1,-1.424087524E0,5.661865696E-2
3.482761330E-1,1.303830743E-1,-1.425309300E0,6.211644411E-2
3.502774990E-1,1.371026039E-1,-1.425920129E0,6.211644411E-2
3.522789650E-1,1.346591413E-1,-1.422255039E0,6.394904107E-2
3.542802980E-1,1.358808577E-1,-1.421033144E0,6.639250368E-2
3.562816310E-1,1.371026039E-1,-1.411870241E0,7.005769014E-2
3.582829970E-1,1.352699995E-1,-1.414924502E0,6.883595884E-2
3.602839970E-1,1.383243203E-1,-1.400263786E0,8.227499574E-2
3.622853300E-1,1.395460516E-1,-1.388046503E0,8.410759270E-2
3.642868960E-1,1.444329768E-1,-1.380716085E0,8.532932401E-2
3.662882290E-1,1.426003873E-1,-1.369720578E0,9.082710743E-2
3.682895620E-1,1.444329768E-1,-1.360557675E0,8.838365227E-2
3.702909280E-1,1.468764395E-1,-1.344675064E0,9.632489830E-2
3.722922610E-1,1.529850960E-1,-1.324516535E0,9.999009222E-2
3.742935940E-1,1.548176855E-1,-1.319018722E0,1.030444205E-1
3.762949270E-1,1.517633647E-1,-1.295805812E0,1.036552787E-1
3.782958270E-1,1.597046107E-1,-1.276258230E0,1.079313383E-1
3.802971600E-1,1.621480733E-1,-1.264040947E0,1.091530696E-1
3.822988260E-1,1.658132672E-1,-1.240217209E0,1.079313383E-1
3.843001590E-1,1.749762446E-1,-1.213949919E0,1.146508530E-1
3.863015250E-1,1.737545133E-1,-1.209062934E0,1.152617186E-1
3.883031250E-1,1.743653715E-1,-1.182184935E0,1.128182635E-1
3.903044580E-1,1.816957593E-1,-1.159582853E0,1.213703677E-1
3.923057240E-1,1.847500950E-1,-1.143700480E0,1.232029647E-1
3.943060570E-1,1.841392219E-1,-1.123541832E0,1.207595095E-1
3.963073900E-1,1.884152889E-1,-1.107659340E0,1.195377707E-1
3.983087560E-1,1.823066324E-1,-1.084446430E0,1.250355542E-1
4.003100890E-1,1.847500950E-1,-1.059401035E0,1.232029647E-1
4.023114220E-1,1.859718114E-1,-1.046572924E0,1.201486439E-1
4.043127880E-1,1.914696097E-1,-1.019694805E0,1.201486439E-1
4.063141210E-1,1.884152889E-1,-9.958710074E-1,1.268681586E-1
4.083154540E-1,1.871935427E-1,-9.848754406E-1,1.268681586E-1
4.103165540E-1,1.829174906E-1,-9.543321729E-1,1.213703677E-1
4.123177870E-1,1.878044158E-1,-9.256215096E-1,1.225920990E-1
4.143191200E-1,1.871935427E-1,-9.109607339E-1,1.219812408E-1
4.163204860E-1,1.878044158E-1,-8.877478838E-1,1.225920990E-1
4.183218190E-1,1.871935427E-1,-8.749196529E-1,1.244246960E-1
4.203234850E-1,1.914696097E-1,-8.504850864E-1,1.238138378E-1
4.223248510E-1,1.853609532E-1,-8.248287439E-1,1.232029647E-1
4.243259840E-1,1.865826845E-1,-8.144440055E-1,1.195377707E-1
4.263273170E-1,1.884152889E-1,-7.869550586E-1,1.207595095E-1
4.283286830E-1,1.920804679E-1,-7.612987757E-1,1.219812408E-1
4.303300160E-1,1.920804679E-1,-7.490814328E-1,1.232029647E-1
4.323320490E-1,1.890261322E-1,-7.215925455E-1,1.250355542E-1
4.343334150E-1,1.908587366E-1,-6.977687478E-1,1.201486439E-1
4.363347480E-1,1.902478784E-1,-6.849406362E-1,1.195377707E-1
4.383360810E-1,1.871935427E-1,-6.592842340E-1,1.195377707E-1
4.403374470E-1,1.853609532E-1,-6.446234584E-1,1.158725843E-1
4.423387800E-1,1.780305654E-1,-6.165236831E-1,1.091530696E-1
4.443401130E-1,1.835283488E-1,-5.804826617E-1,1.103747934E-1
4.463414460E-1,1.786414385E-1,-5.670436025E-1,1.109856665E-1
4.483427790E-1,1.804740280E-1,-5.316134095E-1,1.054878756E-1
4.503441120E-1,1.810849011E-1,-5.053462386E-1,9.876835346E-2
4.523454450E-1,1.823066324E-1,-4.925180376E-1,9.693576396E-2
4.543470780E-1,1.786414385E-1,-4.534226656E-1,9.693576396E-2
4.563484440E-1,1.810849011E-1,-4.247120023E-1,9.021624923E-2
4.583497770E-1,1.804740280E-1,-4.155490100E-1,8.532932401E-2
4.603511100E-1,1.786414385E-1,-3.886709511E-1,8.166413009E-2
4.623524760E-1,1.755871177E-1,-3.617928624E-1,7.738807797E-2
4.643538090E-1,1.780305654E-1,-3.495755792E-1,7.372288406E-2
4.663551420E-1,1.786414385E-1,-3.263626993E-1,6.333817542E-2
4.683565080E-1,1.780305654E-1,-3.190323114E-1,6.028384715E-2
4.703580740E-1,1.798631549E-1,-3.025389314E-1,6.272730976E-2
4.723594070E-1,1.859718114E-1,-2.811586559E-1,5.295346305E-2
4.743607730E-1,1.841392219E-1,-2.732174098E-1,4.684481025E-2
4.763621060E-1,1.804740280E-1,-2.628327012E-1,4.012529552E-2
4.783644720E-1,1.847500950E-1,-2.536697388E-1,3.646010160E-2
4.803658380E-1,1.853609532E-1,-2.481719553E-1,3.279491141E-2
4.823668710E-1,1.878044158E-1,-2.463393509E-1,2.974058501E-2
4.843682040E-1,1.865826845E-1,-2.408415675E-1,2.302106842E-2
4.863695700E-1,1.853609532E-1,-2.469502091E-1,2.241020277E-2
4.883709030E-1,1.884152889E-1,-2.426741570E-1,1.935587637E-2
4.903722360E-1,1.865826845E-1,-2.500045598E-1,1.569068432E-2
4.923797020E-1,1.871935427E-1,-2.567240596E-1,1.080376282E-2
4.943810350E-1,1.878044158E-1,-2.652761936E-1,5.916840397E-3
4.963823680E-1,1.865826845E-1,-2.701630890E-1,7.138571236E-3
4.983837340E-1,1.823066324E-1,-2.872673273E-1,-3.857003292E-3
5.003850670E-1,1.798631549E-1,-3.104802072E-1,-1.918116759E-4
5.023864000E-1,1.798631549E-1,-3.202540576E-1,-1.413542195E-3
5.043884660E-1,1.737545133E-1,-3.483538628E-1,-8.133059368E-3
5.063897990E-1,1.719219238E-1,-3.758427799E-1,-1.363084652E-2
5.083911320E-1,1.713110507E-1,-3.923361599E-1,-1.424171217E-2
5.103924980E-1,1.682567298E-1,-4.186033607E-1,-1.851776801E-2
5.123938310E-1,1.682567298E-1,-4.625856578E-1,-1.546344254E-2
5.143951640E-1,1.664241403E-1,-4.784681499E-1,-1.973949932E-2
5.163964970E-1,1.590937525E-1,-5.175635219E-1,-2.401555702E-2
5.183978300E-1,1.542068124E-1,-5.358894467E-1,-2.340469137E-2
5.203991630E-1,1.499307752E-1,-5.780391693E-1,-2.951334417E-2
5.224004960E-1,1.474872977E-1,-6.220214963E-1,-2.829161286E-2
5.244018290E-1,1.474872977E-1,-6.427909136E-1,-3.195680305E-2
5.264031950E-1,1.352699995E-1,-6.910492778E-1,-4.111978039E-2
5.284045280E-1,1.340482682E-1,-7.374750376E-1,-3.928718716E-2
5.304058610E-1,1.279396117E-1,-7.570226789E-1,-4.417410865E-2
5.324072270E-1,1.254961491E-1,-8.046701550E-1,-4.967189953E-2
5.344085600E-1,1.157223135E-1,-8.492633700E-1,-4.967189953E-2
5.364098930E-1,1.145005822E-1,-8.743088245E-1,-5.211535469E-2
5.384102260E-1,1.035050079E-1,-9.207345843E-1,-5.761314556E-2
5.404115590E-1,1.041158736E-1,-9.390605688E-1,-5.883487687E-2
5.424131920E-1,9.617462009E-2,-9.836536646E-1,-6.127833575E-2
