"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.288013800E-1,8.758256912E0,4.094209969E-1,1.295302629E0
1.308028800E-1,8.758256912E0,4.094209969E-1,1.295302629E0
1.328042130E-1,8.758256912E0,4.094209969E-1,1.295302629E0
1.348054630E-1,9.483722687E0,3.591412306E-1,1.766974807E0
1.368068630E-1,9.577098846E0,3.447755575E-1,1.728666425E0
1.388081960E-1,9.665687561E0,3.423812985E-1,1.678386688E0
1.408094810E-1,9.720755577E0,3.280156553E-1,1.664021015E0
1.428138560E-1,9.799766541E0,3.064671755E-1,1.616135478E0
1.448151890E-1,9.876383781E0,2.801301479E-1,1.594586968E0
1.468164890E-1,9.943423271E0,2.777358890E-1,1.577827096E0
1.488178520E-1,1.003201103E1,2.681587934E-1,1.553884387E0
1.508191850E-1,1.014933109E1,2.059076279E-1,1.529941559E0
1.528226460E-1,1.019003391E1,1.963305324E-1,1.510787368E0
1.548240030E-1,1.032650757E1,1.747820675E-1,1.477267504E0
1.568253360E-1,1.037918091E1,1.532335877E-1,1.460507631E0
1.588266480E-1,1.047255802E1,1.460507661E-1,1.405439258E0
1.608280000E-1,1.059227180E1,9.816526622E-2,1.369525194E0
1.628288880E-1,1.063297462E1,5.746259540E-2,1.338399649E0
1.648303090E-1,1.073114014E1,-1.915419847E-2,1.233051538E0
1.668317590E-1,1.084606457E1,-5.985686928E-2,1.151646137E0
1.688331870E-1,1.089395046E1,-5.506832153E-2,1.089395046E0
1.708345960E-1,1.093465328E1,-5.746259540E-2,1.060663700E0
1.728360300E-1,1.105915546E1,-9.577099234E-2,9.936240315E-1
1.748374460E-1,1.111182976E1,-1.197137386E-1,9.553156495E-1
1.768388460E-1,1.121717739E1,-1.987248063E-1,8.308133483E-1
1.788402690E-1,1.117408085E1,-2.561874092E-1,7.637736797E-1
1.808413430E-1,1.129618835E1,-3.423812985E-1,6.201171875E-1
1.828427350E-1,1.160983849E1,-5.075862408E-1,5.243461728E-1
1.848441480E-1,1.174152374E1,-5.602602959E-1,5.411061049E-1
1.868455480E-1,1.184447765E1,-6.536370516E-1,5.842030644E-1
1.888469480E-1,1.197855663E1,-7.422251701E-1,6.584255695E-1
1.908483480E-1,1.205277920E1,-7.925049663E-1,6.512427330E-1
1.928497480E-1,1.218446445E1,-8.643332124E-1,6.464542150E-1
1.948511480E-1,1.229220676E1,-9.577099085E-1,5.913859010E-1
1.968525480E-1,1.235924625E1,-9.984126091E-1,5.435003638E-1
1.988539480E-1,1.249811459E1,-1.067846537E0,4.285751879E-1
2.008550480E-1,1.259867382E1,-1.118126392E0,3.591412306E-1
2.028556480E-1,1.263937664E1,-1.144463301E0,3.543526828E-1
2.048567140E-1,1.277106190E1,-1.216291547E0,2.801301479E-1
2.068581470E-1,1.284528446E1,-1.261782765E0,2.633702159E-1
2.088595470E-1,1.294584370E1,-1.328822494E0,2.083019018E-1
2.108609470E-1,1.304879761E1,-1.367130876E0,1.125309169E-1
2.128614470E-1,1.308950043E1,-1.386285067E0,7.422251999E-2
2.148628470E-1,1.309668350E1,-1.400650740E0,-7.182824425E-3
2.168642470E-1,1.310865498E1,-1.383890867E0,-4.070267081E-2
2.188656800E-1,1.312541485E1,-1.388679385E0,-5.746259540E-2
2.208670800E-1,1.307992363E1,-1.391073704E0,-7.422251999E-2
2.228686800E-1,1.299851799E1,-1.386285067E0,-1.532335877E-1
2.248700460E-1,1.296739197E1,-1.362342358E0,-2.106961906E-1
2.268713120E-1,1.281415844E1,-1.359948039E0,-2.777358890E-1
2.288772450E-1,1.262022209E1,-1.345582485E0,-3.304099143E-1
2.308785450E-1,1.252205753E1,-1.328822494E0,-3.399870098E-1
2.328798110E-1,1.231614971E1,-1.273754239E0,-3.304099143E-1
2.348810770E-1,1.221319580E1,-1.266571403E0,-3.040728867E-1
2.368825770E-1,1.200968266E1,-1.211503029E0,-2.537931204E-1
2.388838430E-1,1.182771778E1,-1.144463301E0,-1.843591630E-1
2.408854090E-1,1.176067829E1,-1.113337755E0,-1.388679445E-1
2.428864750E-1,1.160265541E1,-1.058269501E0,-6.464541703E-2
2.448878080E-1,1.145899963E1,-9.960182905E-1,-1.915419847E-2
2.468891410E-1,1.140153694E1,-9.553156495E-1,3.591412306E-2
2.488904410E-1,1.130815983E1,-8.858816624E-1,1.364736706E-1
2.508921740E-1,1.123872566E1,-8.236305118E-1,2.298503816E-1
2.528935070E-1,1.120999432E1,-7.877163887E-1,2.729473412E-1
2.548948730E-1,1.114774323E1,-7.470137477E-1,3.902668059E-1
2.568962060E-1,1.113816643E1,-6.991282701E-1,4.381522834E-1
2.588975390E-1,1.109985828E1,-6.440598965E-1,5.530774593E-1
2.608992050E-1,1.108788681E1,-5.913859010E-1,6.584255695E-1
2.629005380E-1,1.107591534E1,-5.435003638E-1,7.398309112E-1
2.649022040E-1,1.107831001E1,-4.980091453E-1,8.403904438E-1
2.669035370E-1,1.109028053E1,-4.573064744E-1,9.624984860E-1
2.689048700E-1,1.107831001E1,-4.381522834E-1,1.048692346E0
2.709062030E-1,1.109267521E1,-4.070267081E-1,1.146857619E0
2.729075360E-1,1.110943508E1,-3.759011328E-1,1.256994247E0
2.749088690E-1,1.113337803E1,-3.806896806E-1,1.280937076E0
2.769102020E-1,1.119323444E1,-3.615354896E-1,1.357553840E0
2.789115350E-1,1.120281219E1,-3.591412306E-1,1.386285067E0
2.809128680E-1,1.125309181E1,-3.663240373E-1,1.441353440E0
2.829143010E-1,1.127942848E1,-3.854782581E-1,1.496421814E0
2.849156340E-1,1.130815983E1,-3.806896806E-1,1.541913033E0
2.869170340E-1,1.132970810E1,-4.118152559E-1,1.577827096E0
2.909149670E-1,1.140632534E1,-4.261809289E-1,1.599375606E0
2.929163670E-1,1.144942188E1,-4.692778587E-1,1.575432777E0
2.949178000E-1,1.149730778E1,-4.980091453E-1,1.589798450E0
2.969190000E-1,1.152364445E1,-5.363175869E-1,1.599375606E0
2.989204000E-1,1.158589554E1,-5.842030644E-1,1.565855742E0
3.009216000E-1,1.160265541E1,-6.416656375E-1,1.565855742E0
3.029232330E-1,1.165293503E1,-7.015225291E-1,1.527547359E0
3.049245660E-1,1.172236919E1,-7.613793612E-1,1.455719113E0
3.069259320E-1,1.173673534E1,-7.853221297E-1,1.424593568E0
3.089273320E-1,1.179659176E1,-8.643332124E-1,1.338399649E0
3.109282650E-1,1.182292938E1,-8.906702399E-1,1.247417212E0
3.129296310E-1,1.182532310E1,-9.313728809E-1,1.201925993E0
3.149309640E-1,1.185405445E1,-9.624984860E-1,1.103760719E0
3.169322970E-1,1.185405445E1,-1.027143836E0,1.039115310E0
3.189336630E-1,1.186842060E1,-1.046298146E0,1.012778282E0
3.209349960E-1,1.190912247E1,-1.087000728E0,9.146129489E-1
3.229363290E-1,1.191630554E1,-1.144463301E0,8.499675393E-1
3.249376950E-1,1.190912247E1,-1.168406129E0,7.972934842E-1
3.269390280E-1,1.192588329E1,-1.204320192E0,7.326480746E-1
3.289403280E-1,1.193306541E1,-1.249811411E0,7.015225291E-1
3.309416940E-1,1.195940304E1,-1.309668303E0,6.153286099E-1
3.329430940E-1,1.200010490E1,-1.376708031E0,5.554717779E-1
3.349444270E-1,1.200249958E1,-1.403045058E0,5.075862408E-1
3.369457930E-1,1.204320240E1,-1.458113313E0,4.453351200E-1
3.389471260E-1,1.205996227E1,-1.496421814E0,3.806896806E-1
3.409484260E-1,1.206953907E1,-1.517970204E0,3.663240373E-1
3.429497590E-1,1.207672215E1,-1.553884387E0,3.256213665E-1
3.449510920E-1,1.212700176E1,-1.596981287E0,2.585816681E-1
3.469524250E-1,1.211263657E1,-1.601769805E0,2.274561077E-1
3.489587910E-1,1.212700176E1,-1.635289669E0,1.915419847E-1
3.509601240E-1,1.212221336E1,-1.652049661E0,1.747820675E-1
3.529614900E-1,1.210066509E1,-1.666415215E0,1.484450400E-1
3.549628230E-1,1.207193375E1,-1.659232497E0,1.197137386E-1
3.569638560E-1,1.205517387E1,-1.659232497E0,1.173194647E-1
3.589652220E-1,1.199531651E1,-1.625712633E0,9.098244458E-2
3.609667880E-1,1.190912247E1,-1.625712633E0,8.379961550E-2
3.629678540E-1,1.187081432E1,-1.594586968E0,7.901106775E-2
3.649692200E-1,1.180377483E1,-1.553884387E0,6.703969836E-2
3.669705530E-1,1.171758080E1,-1.477267504E0,6.464541703E-2
3.689715860E-1,1.168406105E1,-1.460507631E0,6.703969836E-2
3.709729520E-1,1.161462688E1,-1.410227895E0,7.901106775E-2
3.729742850E-1,1.153082752E1,-1.362342358E0,1.005595401E-1
3.749756180E-1,1.150927925E1,-1.324033976E0,1.125309169E-1
3.769769840E-1,1.146618176E1,-1.278542757E0,1.436564922E-1
3.789783170E-1,1.144702816E1,-1.268965602E0,1.580221355E-1
3.809796500E-1,1.140153694E1,-1.218685865E0,2.250618339E-1
3.829810160E-1,1.138238239E1,-1.209108829E0,2.992843390E-1
3.849823490E-1,1.136562252E1,-1.213897347E0,3.184385598E-1
3.869861490E-1,1.134886265E1,-1.185166001E0,4.046324492E-1
3.889875490E-1,1.132731438E1,-1.146857619E0,5.123748183E-1
3.909888820E-1,1.132013130E1,-1.149251938E0,5.602602959E-1
3.929901480E-1,1.130337143E1,-1.156434774E0,6.488484740E-1
3.949912140E-1,1.129379463E1,-1.139674783E0,7.541965842E-1
3.969925470E-1,1.129858303E1,-1.130097747E0,8.212362528E-1
3.989938800E-1,1.130815983E1,-1.120520592E0,9.026415944E-1
4.009952800E-1,1.130337143E1,-1.122914910E0,9.505270720E-1
4.029966130E-1,1.129139996E1,-1.142069101E0,1.060663700E0
4.049979130E-1,1.128661156E1,-1.139674783E0,1.120520592E0
4.069992790E-1,1.126745701E1,-1.146857619E0,1.156434774E0
4.109969780E-1,1.125309181E1,-1.175588965E0,1.309668303E0
4.129983110E-1,1.122675419E1,-1.177983165E0,1.338399649E0
4.149996440E-1,1.121717739E1,-1.189954638E0,1.419804931E0
4.170012770E-1,1.120281219E1,-1.213897347E0,1.486844659E0
4.190026100E-1,1.118844604E1,-1.228263021E0,1.534730196E0
4.210039430E-1,1.116450310E1,-1.259388566E0,1.625712633E0
4.230055760E-1,1.113577175E1,-1.307274103E0,1.656838179E0
4.250069090E-1,1.113816643E1,-1.321639657E0,1.733454943E0
4.270082420E-1,1.109985828E1,-1.352765322E0,1.817254543E0
4.290098420E-1,1.108549213E1,-1.359948039E0,1.857957244E0
4.310108420E-1,1.104239559E1,-1.386285067E0,1.941756845E0
4.330128420E-1,1.099450970E1,-1.412622094E0,1.994430900E0
4.350142080E-1,1.097056675E1,-1.412622094E0,2.008796453E0
4.370155410E-1,1.092507553E1,-1.434170604E0,2.054287672E0
4.390168740E-1,1.087719059E1,-1.462901950E0,2.071047783E0
4.410182400E-1,1.084127617E1,-1.467690468E0,2.071047783E0
4.430195730E-1,1.075987053E1,-1.472478986E0,2.056682110E0
4.450209060E-1,1.071198559E1,-1.455719113E0,2.047105074E0
4.490208050E-1,1.063536835E1,-1.417410731E0,2.039922237E0
4.510221380E-1,1.057790565E1,-1.410227895E0,2.037527800E0
4.530235040E-1,1.050128937E1,-1.398256540E0,2.051893473E0
4.550251370E-1,1.043424988E1,-1.376708031E0,2.020767927E0
4.570264700E-1,1.040073013E1,-1.347976685E0,2.004008055E0
4.590278360E-1,1.033847904E1,-1.357553840E0,1.987248063E0
4.610291690E-1,1.028341007E1,-1.324033976E0,1.941756845E0
4.630305020E-1,1.021876526E1,-1.307274103E0,1.934574008E0
4.650321680E-1,1.016369629E1,-1.268965602E0,1.903448462E0
4.670333340E-1,1.007271385E1,-1.237840056E0,1.865140080E0
4.690346670E-1,1.000088596E1,-1.225868702E0,1.802888989E0
4.710362000E-1,9.967366219E0,-1.213897347E0,1.776551962E0
4.730375330E-1,9.926663399E0,-1.185166001E0,1.752609134E0
4.750388660E-1,9.881172180E0,-1.177983165E0,1.704723716E0
4.770402320E-1,9.804554939E0,-1.106154919E0,1.656838179E0
4.790415650E-1,9.778218269E0,-1.094183564E0,1.628106833E0
4.810428980E-1,9.725543976E0,-1.031932473E0,1.601769805E0
4.830442310E-1,9.646533012E0,-9.792584181E-1,1.541913033E0
4.850455640E-1,9.610619545E0,-9.553156495E-1,1.537124395E0
4.870465970E-1,9.548367500E0,-8.930644989E-1,1.508393168E0
4.890484300E-1,9.438231468E0,-8.212362528E-1,1.460507631E0
4.910500300E-1,9.402317047E0,-7.829278708E-1,1.448536277E0
4.930503960E-1,9.311334610E0,-7.110996246E-1,1.412622094E0
4.950514290E-1,9.241900444E0,-6.584255695E-1,1.388679385E0
4.970527620E-1,9.198803902E0,-6.201171875E-1,1.367130876E0
4.990541280E-1,9.119792938E0,-5.650488734E-1,1.355159521E0
5.010554610E-1,9.067118645E0,-5.243461728E-1,1.347976685E0
5.030567940E-1,8.980924606E0,-4.692778587E-1,1.324033976E0
5.050581600E-1,8.911490440E0,-4.213923812E-1,1.319245458E0
5.070598260E-1,8.877970695E0,-3.998439014E-1,1.300091267E0
5.090611590E-1,8.806142807E0,-3.591412306E-1,1.300091267E0
5.110625250E-1,8.753468513E0,-3.328042030E-1,1.292908430E0
5.130650250E-1,8.719948769E0,-3.208328187E-1,1.300091267E0
5.150660580E-1,8.684034348E0,-2.729473412E-1,1.302485466E0
5.170670910E-1,8.655303001E0,-2.609759569E-1,1.304879785E0
5.190684240E-1,8.621783257E0,-2.466102988E-1,1.309668303E0
5.210694570E-1,8.578686714E0,-2.298503816E-1,1.343188167E0
5.230708230E-1,8.571503639E0,-1.987248063E-1,1.343188167E0
5.250716560E-1,8.528407097E0,-1.532335877E-1,1.355159521E0
5.270763220E-1,8.518829346E0,-1.340793967E-1,1.359948039E0
5.290776880E-1,8.485309601E0,-1.532335877E-1,1.383890867E0
5.310790210E-1,8.478127480E0,-1.436564922E-1,1.393467903E0
