"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,4.669698179E-1,4.259990901E-2,9.327057004E-2
2.002500000E-3,4.730784893E-1,4.198904335E-2,9.327057004E-2
4.004500000E-3,4.761328101E-1,4.321077466E-2,1.024335474E-1
6.006250000E-3,4.785762727E-1,4.687596485E-2,1.060987413E-1
8.008050000E-3,4.804088771E-1,5.298461765E-2,1.128182635E-1
1.000971600E-2,4.840740561E-1,5.115202442E-2,1.170943156E-1
1.201128700E-2,4.871283770E-1,5.054115504E-2,1.232029647E-1
1.401291200E-2,4.895718396E-1,5.664981157E-2,1.256464273E-1
1.601446700E-2,4.938479066E-1,5.176289007E-2,1.311442107E-1
1.801506700E-2,4.993456602E-1,4.931942746E-2,1.354202777E-1
2.001570300E-2,4.993456602E-1,4.931942746E-2,1.354202777E-1
2.201703600E-2,4.993456602E-1,4.137817770E-2,1.384745985E-1
2.401834300E-2,5.036217570E-1,3.954558074E-2,1.360311359E-1
2.601970000E-2,5.030108690E-1,3.282606602E-2,1.427506506E-1
2.802103300E-2,5.072869062E-1,2.977173962E-2,1.421397924E-1
3.002240800E-2,5.066760778E-1,1.511097327E-2,1.427506506E-1
3.202376000E-2,5.103412271E-1,2.893668599E-3,1.415289342E-1
3.402509300E-2,5.152282119E-1,-6.880175322E-3,1.427506506E-1
3.602646100E-2,5.201151371E-1,-2.154094167E-2,1.439723819E-1
3.802781100E-2,5.176716447E-1,-3.925603628E-2,1.415289342E-1
4.002914400E-2,5.170608163E-1,-4.658641294E-2,1.409180611E-1
4.203050700E-2,5.182825327E-1,-6.552323699E-2,1.396963298E-1
4.403185400E-2,5.182825327E-1,-8.384919912E-2,1.403071880E-1
4.603318700E-2,5.164498687E-1,-9.545563161E-2,1.396963298E-1
4.803454700E-2,5.268346071E-1,-1.101163998E-1,1.335876733E-1
5.003731600E-2,5.262237787E-1,-1.357727349E-1,1.317550838E-1
5.203864900E-2,5.219476819E-1,-1.498226523E-1,1.280898899E-1
5.404000600E-2,5.207259655E-1,-1.724246591E-1,1.293116212E-1
