"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.240830000E-1,9.981731415E0,5.985686928E-2,6.967339516E-1
1.260835000E-1,9.981731415E0,5.985686928E-2,6.967339516E-1
1.280848330E-1,9.981731415E0,5.985686928E-2,6.967339516E-1
1.300858330E-1,9.486116409E0,-2.633702382E-2,-5.578660369E-1
1.320868330E-1,9.524425507E0,-7.422251999E-2,-5.315290093E-1
1.340881660E-1,9.490905762E0,-8.858817071E-2,-5.027977228E-1
1.360894510E-1,9.414288521E0,-9.577099234E-2,-5.123748183E-1
1.380907010E-1,9.380768776E0,-1.125309169E-1,-5.578660369E-1
1.400920340E-1,9.325700760E0,-1.460507661E-1,-6.392713785E-1
1.420932340E-1,9.241900444E0,-1.532335877E-1,-7.350423932E-1
1.440945060E-1,9.217958450E0,-1.268965602E-1,-7.925049663E-1
1.460957560E-1,9.136552811E0,-1.077423692E-1,-8.356019258E-1
1.480969860E-1,9.067118645E0,-1.029538140E-1,-8.882759809E-1
1.500982710E-1,9.007262230E0,-1.149251908E-1,-9.026415944E-1
1.520995370E-1,8.928250313E0,-1.173194647E-1,-9.577099085E-1
1.541007870E-1,8.839662552E0,-1.340793967E-1,-9.888355136E-1
1.561021390E-1,8.779806137E0,-1.268965602E-1,-1.010383964E0
1.581034720E-1,8.640937805E0,-1.149251908E-1,-1.039115310E0
1.601047870E-1,8.511647224E0,-1.292908341E-1,-1.046298146E0
1.621061370E-1,8.449396133E0,-1.484450400E-1,-1.065452337E0
1.641074220E-1,8.329682350E0,-1.747820675E-1,-1.077423692E0
1.661087400E-1,8.267431259E0,-1.891477108E-1,-1.072635174E0
1.681100870E-1,8.126168251E0,-2.705530524E-1,-1.199531674E0
1.701113780E-1,8.001666069E0,-2.130904645E-1,-1.201925993E0
1.721126980E-1,7.941809654E0,-1.771763414E-1,-1.161223292E0
1.741140440E-1,7.824490070E0,-1.340793967E-1,-1.108549237E0
1.761158210E-1,7.690410614E0,-1.532335877E-1,-1.158828974E0
1.781171420E-1,7.620976925E0,-1.915419847E-1,-1.223474383E0
1.801184520E-1,7.525205612E0,-2.298503816E-1,-1.331216812E0
1.821197520E-1,7.446194649E0,-2.130904645E-1,-1.434170604E0
1.841210850E-1,7.328875065E0,-1.747820675E-1,-1.489238977E0
1.861263850E-1,7.254652500E0,-1.556278616E-1,-1.479661822E0
1.881277180E-1,7.197190285E0,-1.316851079E-1,-1.484450340E0
1.901290510E-1,7.120573044E0,-1.292908341E-1,-1.460507631E0
1.921304510E-1,7.051139355E0,-1.077423692E-1,-1.486844659E0
1.941317840E-1,6.998465061E0,-9.098244458E-2,-1.520364523E0
1.961330840E-1,6.936213970E0,-6.703969836E-2,-1.553884387E0
1.981405840E-1,6.873962879E0,-5.746259540E-2,-1.690358043E0
2.001418840E-1,6.890722752E0,-4.309694469E-2,-1.664021015E0
2.021432170E-1,6.818894863E0,-1.675992459E-2,-1.673598051E0
2.041445830E-1,6.730306625E0,6.464541703E-2,-1.623318315E0
2.061459490E-1,6.691998005E0,6.943397224E-2,-1.594586968E0
2.081473150E-1,6.612987041E0,6.703969836E-2,-1.587404251E0
2.101486810E-1,6.569890022E0,6.464541703E-2,-1.613741279E0
2.121500470E-1,6.498061657E0,5.506832153E-2,-1.637683988E0
2.141514130E-1,6.454965115E0,8.619388938E-2,-1.675992370E0
2.161527130E-1,6.445387840E0,9.098244458E-2,-1.719089270E0
2.181540460E-1,6.366376877E0,6.464541703E-2,-1.829225898E0
2.201553790E-1,6.340039730E0,1.101366431E-1,-1.762186289E0
2.221566790E-1,6.356799603E0,1.292908341E-1,-1.673598051E0
2.241580120E-1,6.301731110E0,1.628106833E-1,-1.594586968E0
2.261593780E-1,6.237085819E0,1.652049571E-1,-1.558672905E0
2.281607110E-1,6.222720146E0,1.652049571E-1,-1.565855742E0
2.301620770E-1,6.160469055E0,1.149251908E-1,-1.613741279E0
2.321634100E-1,6.122160912E0,1.125309169E-1,-1.644866824E0
2.341647430E-1,6.071880817E0,1.149251908E-1,-1.675992370E0
2.361656760E-1,6.009629726E0,9.816526622E-2,-1.699935079E0
2.381670420E-1,5.990475655E0,1.077423692E-1,-1.707117915E0
2.401684080E-1,5.904281616E0,6.464541703E-2,-1.755003452E0
2.421697740E-1,5.892310143E0,5.746259540E-2,-1.716695070E0
2.441711070E-1,5.844424725E0,6.464541703E-2,-1.644866824E0
2.481698070E-1,5.724710941E0,3.830839694E-2,-1.683175206E0
2.501711730E-1,5.695979595E0,9.577099234E-3,-1.731060743E0
2.521724730E-1,5.612180233E0,-3.830839694E-2,-1.812466025E0
2.541790730E-1,5.514014721E0,-4.788549617E-2,-1.860351562E0
2.561804390E-1,5.492466450E0,-7.182824612E-2,-1.881899953E0
2.601799720E-1,5.329655647E0,-8.379961550E-2,-1.956122518E0
2.621813380E-1,5.255433083E0,-8.858817071E-2,-2.011190891E0
2.641826380E-1,5.159662247E0,-1.077423692E-1,-2.027950764E0
2.661837040E-1,5.114171028E0,-1.173194647E-1,-2.049499273E0
2.681850370E-1,5.027976990E0,-1.556278616E-1,-2.106961727E0
2.701861370E-1,4.977697372E0,-1.508393139E-1,-2.188367128E0
2.721874370E-1,4.953754425E0,-1.460507661E-1,-2.233858347E0
