"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,8.820894174E-3,-6.519538760E-1,-3.806545585E-2
2.001500000E-3,1.187522057E-2,-6.470669508E-1,-3.623285890E-2
4.002833000E-3,1.309695095E-2,-6.440126300E-1,-3.806545585E-2
6.004333000E-3,1.431868132E-2,-6.464561224E-1,-4.050891846E-2
8.005733000E-3,2.042733319E-2,-6.458452344E-1,-4.050891846E-2
1.000706600E-2,2.225993015E-2,-6.452343464E-1,-3.684372827E-2
1.200849400E-2,2.714684978E-2,-6.464561224E-1,-2.157209627E-2
1.400974400E-2,3.203377500E-2,-6.415691376E-1,-2.279382572E-2
1.601118800E-2,3.386636823E-2,-6.366822720E-1,-1.851776801E-2
1.801248800E-2,3.630983084E-2,-6.256866455E-1,-1.057652105E-2
2.001376000E-2,3.814242408E-2,-6.232432127E-1,-8.133059368E-3
2.201509300E-2,4.302934557E-2,-6.183562875E-1,-9.354790673E-3
2.401640000E-2,3.936415538E-2,-6.153019667E-1,-9.354790673E-3
2.601768500E-2,4.364021122E-2,-6.116367579E-1,-3.246137872E-3
2.801901800E-2,4.486194253E-2,-6.134693623E-1,-2.635272685E-3
3.002033000E-2,4.119675234E-2,-6.201888919E-1,-1.918116759E-4
3.202162400E-2,3.875329345E-2,-6.372931004E-1,1.640783972E-3
3.402462400E-2,3.753155842E-2,-6.391257048E-1,4.190535401E-4
3.602593900E-2,4.302934557E-2,-6.519538760E-1,4.695110489E-3
3.802723900E-2,4.241848364E-2,-6.507321000E-1,9.582032450E-3
4.002857200E-2,4.791627079E-2,-6.495104432E-1,1.080376282E-2
4.202989000E-2,4.547280818E-2,-6.568408012E-1,1.630154997E-2
4.403119400E-2,4.302934557E-2,-6.580625176E-1,2.668625861E-2
4.603252700E-2,4.180761799E-2,-6.531755924E-1,3.523837402E-2
4.803384700E-2,3.630983084E-2,-6.684472561E-1,3.523837402E-2
5.003515400E-2,3.692069650E-2,-6.739450097E-1,3.768183663E-2
5.203652400E-2,4.058588669E-2,-6.745558977E-1,3.523837402E-2
5.404016600E-2,5.830097944E-2,-6.818863153E-1,3.707096726E-2
5.604151000E-2,6.257703155E-2,-6.831079721E-1,3.829269856E-2
5.804287600E-2,6.257703155E-2,-6.861623526E-1,3.829269856E-2
6.004420900E-2,6.624222547E-2,-6.898275018E-1,4.012529552E-2
6.204554200E-2,6.624222547E-2,-6.892166734E-1,4.134702682E-2
6.404687500E-2,6.868569553E-2,-6.782210469E-1,4.379048571E-2
6.604794100E-2,6.624222547E-2,-6.733341813E-1,4.379048571E-2
6.804997400E-2,6.685309857E-2,-6.531755924E-1,4.134702682E-2
7.005204000E-2,6.502050161E-2,-6.403474212E-1,3.707096726E-2
7.205334000E-2,6.074443832E-2,-6.397365928E-1,3.523837402E-2
7.405470600E-2,6.074443832E-2,-6.171345711E-1,3.340577707E-2
7.605603900E-2,6.807482243E-2,-5.988085866E-1,3.279491141E-2
7.805740500E-2,6.990741938E-2,-5.884239078E-1,3.218404949E-2
8.005877100E-2,7.784866542E-2,-5.774282813E-1,3.340577707E-2
8.205987100E-2,7.540520281E-2,-5.719305277E-1,3.584923968E-2
8.406123700E-2,7.174001634E-2,-5.639892817E-1,3.401664272E-2
8.606263700E-2,6.685309857E-2,-5.597131848E-1,4.440135136E-2
8.806400300E-2,6.746395677E-2,-5.560480356E-1,4.195788875E-2
9.006536900E-2,6.563135982E-2,-5.609349608E-1,4.012529552E-2
9.206676900E-2,7.112915069E-2,-5.615458488E-1,3.890356421E-2
9.406713500E-2,6.868569553E-2,-5.707088113E-1,4.012529552E-2
9.606820100E-2,7.296174765E-2,-5.872021317E-1,4.317962006E-2
9.806960100E-2,7.907039672E-2,-5.975868702E-1,4.623394832E-2
1.000709670E-1,8.334644884E-2,-6.006411910E-1,4.928827286E-2
1.020723330E-1,9.067683667E-2,-6.030846834E-1,5.845125020E-2
1.040737330E-1,8.945510536E-2,-6.122476459E-1,6.028384715E-2
1.060750660E-1,9.006597102E-2,-6.122476459E-1,6.700336188E-2
1.080764320E-1,8.884423971E-2,-6.177453995E-1,6.211644411E-2
1.100785320E-1,8.701164275E-2,-6.232432127E-1,7.005769014E-2
1.120798320E-1,8.395732194E-2,-6.281301379E-1,7.433374971E-2
1.160801310E-1,8.701164275E-2,-6.409583092E-1,7.860980183E-2
1.180811970E-1,8.945510536E-2,-6.574516892E-1,8.288586140E-2
1.200824970E-1,9.128770232E-2,-6.721124053E-1,8.471845835E-2
1.220838630E-1,9.495289624E-2,-6.769993305E-1,8.471845835E-2
1.240852290E-1,1.010615453E-1,-6.934927106E-1,8.288586140E-2
1.260867950E-1,1.059484705E-1,-6.965470314E-1,8.716192096E-2
1.280874610E-1,1.138897166E-1,-6.965470314E-1,8.899451792E-2
1.300880610E-1,1.114462614E-1,-6.965470314E-1,9.449230134E-2
1.320893940E-1,1.187766418E-1,-7.020447850E-1,9.632489830E-2
1.340907600E-1,1.297722161E-1,-6.916601062E-1,9.388143569E-2
1.360920930E-1,1.432112455E-1,-6.824971437E-1,9.449230134E-2
1.380934260E-1,1.474872977E-1,-6.745558977E-1,8.838365227E-2
1.400947920E-1,1.572611481E-1,-6.745558977E-1,8.838365227E-2
1.420963580E-1,1.572611481E-1,-6.635603309E-1,8.777277917E-2
1.440976910E-1,1.597046107E-1,-6.660037637E-1,7.738807797E-2
1.460989910E-1,1.566502899E-1,-6.592842340E-1,7.372288406E-2
1.481002910E-1,1.645915359E-1,-6.507321000E-1,6.944682449E-2
1.501016240E-1,1.627589464E-1,-6.464561224E-1,6.150557846E-2
1.521029240E-1,1.676458567E-1,-6.440126300E-1,5.906211957E-2
1.541042240E-1,1.755871177E-1,-6.421800256E-1,5.906211957E-2
1.561058900E-1,1.731436402E-1,-6.434017420E-1,5.417519435E-2
1.581072230E-1,1.761979610E-1,-6.397365928E-1,5.051000044E-2
1.601085560E-1,1.755871177E-1,-6.427909136E-1,4.501221329E-2
1.621099220E-1,1.664241403E-1,-6.495104432E-1,4.073616117E-2
1.641112220E-1,1.639806628E-1,-6.635603309E-1,4.379048571E-2
1.661125880E-1,1.609263420E-1,-6.696689725E-1,4.134702682E-2
1.681139540E-1,1.505416334E-1,-6.910492778E-1,4.073616117E-2
1.701145540E-1,1.438221186E-1,-7.130404115E-1,3.584923968E-2
1.721159200E-1,1.413786411E-1,-7.173164487E-1,3.646010160E-2
1.741175530E-1,1.468764395E-1,-7.270902991E-1,4.012529552E-2
1.761192860E-1,1.523742229E-1,-7.252576947E-1,4.440135136E-2
1.781208860E-1,1.523742229E-1,-7.234250903E-1,4.806654528E-2
1.801222520E-1,1.444329768E-1,-7.380858660E-1,5.112086982E-2
1.821235520E-1,1.432112455E-1,-7.423619628E-1,5.661865696E-2
1.841248850E-1,1.358808577E-1,-7.527466416E-1,6.089471281E-2
1.861301850E-1,1.309939474E-1,-7.625204921E-1,6.578163058E-2
1.881315180E-1,1.297722161E-1,-7.667965889E-1,7.005769014E-2
1.901328510E-1,1.261070222E-1,-7.790138721E-1,7.616634667E-2
1.921342510E-1,1.322156638E-1,-7.845116854E-1,7.860980183E-2
1.941355840E-1,1.297722161E-1,-7.881768346E-1,8.410759270E-2
1.961368840E-1,1.279396117E-1,-8.010050058E-1,8.349672705E-2
1.981443840E-1,1.273287535E-1,-8.181092143E-1,8.899451792E-2
2.001456840E-1,1.267178953E-1,-8.266612887E-1,8.838365227E-2
2.021470170E-1,1.291613430E-1,-8.352134228E-1,8.716192096E-2
2.041483830E-1,1.267178953E-1,-8.425438404E-1,9.021624923E-2
2.061497490E-1,1.322156638E-1,-8.455981612E-1,8.960537612E-2
2.081511150E-1,1.468764395E-1,-8.486524820E-1,8.349672705E-2
2.101524810E-1,1.493199021E-1,-8.504850864E-1,8.410759270E-2
2.121538470E-1,1.456547081E-1,-8.547611237E-1,8.166413009E-2
2.141552130E-1,1.529850960E-1,-8.779739738E-1,8.166413009E-2
2.161565130E-1,1.554285586E-1,-8.828609586E-1,8.044239879E-2
2.181578460E-1,1.462655813E-1,-9.134041667E-1,7.066855580E-2
2.201591790E-1,1.413786411E-1,-9.201236963E-1,6.761422753E-2
2.221604790E-1,1.413786411E-1,-9.256215096E-1,6.272730976E-2
2.241618120E-1,1.499307752E-1,-9.201236963E-1,5.784038454E-2
2.261631780E-1,1.603154689E-1,-9.256215096E-1,5.234259740E-2
2.281645110E-1,1.633697897E-1,-9.268432856E-1,5.356433243E-2
2.301658770E-1,1.652023941E-1,-9.329519272E-1,4.867740721E-2
2.321672100E-1,1.645915359E-1,-9.347844720E-1,4.806654528E-2
2.341685430E-1,1.609263420E-1,-9.378387928E-1,4.562308267E-2
2.361694760E-1,1.645915359E-1,-9.457800388E-1,4.745567590E-2
2.381708420E-1,1.639806628E-1,-9.537212849E-1,4.012529552E-2
2.401722080E-1,1.590937525E-1,-9.634951949E-1,3.890356421E-2
2.421735740E-1,1.560394168E-1,-9.726581573E-1,3.951442987E-2
2.441749070E-1,1.627589464E-1,-9.769341946E-1,3.829269856E-2
2.481736070E-1,1.761979610E-1,-9.799885154E-1,3.096231632E-2
2.501749730E-1,1.792522967E-1,-9.818211198E-1,3.096231632E-2
2.521762730E-1,1.841392219E-1,-9.915949702E-1,2.974058501E-2
2.541828730E-1,1.896370053E-1,-9.970927238E-1,2.851885371E-2
2.561842390E-1,1.878044158E-1,-1.008088350E0,2.302106842E-2
2.601837720E-1,1.902478784E-1,-1.028246880E0,2.424279787E-2
2.621851380E-1,1.969673932E-1,-1.037409782E0,2.546452917E-2
2.641864380E-1,1.957456619E-1,-1.039853215E0,2.546452917E-2
2.661875040E-1,1.994108558E-1,-1.049016237E0,2.790798992E-2
2.681888370E-1,2.061303705E-1,-1.050238013E0,2.912972122E-2
2.701899370E-1,2.104064226E-1,-1.055735826E0,3.279491141E-2
2.721912370E-1,2.128498852E-1,-1.058179379E0,3.340577707E-2
2.741923030E-1,2.085738182E-1,-1.056957483E0,3.462750465E-2
2.761936360E-1,2.061303705E-1,-1.056957483E0,3.951442987E-2
2.781949690E-1,2.097955644E-1,-1.064288020E0,4.134702682E-2
2.801963350E-1,1.987999827E-1,-1.079559565E0,4.073616117E-2
2.821977010E-1,1.957456619E-1,-1.078337789E0,4.501221329E-2
2.841990670E-1,1.975782663E-1,-1.071618319E0,4.684481025E-2
2.862004000E-1,2.012434453E-1,-1.068563938E0,4.928827286E-2
2.882017330E-1,2.012434453E-1,-1.058179379E0,5.112086982E-2
2.902030660E-1,1.933021992E-1,-1.065509677E0,5.173173547E-2
2.922055320E-1,1.865826845E-1,-1.057568312E0,5.661865696E-2
2.942068650E-1,1.804740280E-1,-1.052681565E0,6.028384715E-2
2.962082310E-1,1.737545133E-1,-1.052070498E0,5.600779131E-2
2.982095640E-1,1.719219238E-1,-1.039242387E0,6.150557846E-2
3.002108970E-1,1.682567298E-1,-1.036798954E0,6.333817542E-2
3.022122630E-1,1.578720063E-1,-1.038631558E0,6.272730976E-2
3.042136290E-1,1.535959691E-1,-1.036798954E0,6.455990672E-2
3.062149950E-1,1.529850960E-1,-1.021527290E0,6.639250368E-2
3.082163950E-1,1.529850960E-1,-1.004423141E0,6.883595884E-2
3.102177610E-1,1.529850960E-1,-9.995362163E-1,6.883595884E-2
3.122190940E-1,1.456547081E-1,-9.830428362E-1,6.944682449E-2
3.162165600E-1,1.352699995E-1,-9.677711725E-1,7.311201841E-2
3.202162590E-1,1.273287535E-1,-9.457800388E-1,7.127942145E-2
3.222176250E-1,1.303830743E-1,-9.378387928E-1,7.311201841E-2
3.242189580E-1,1.267178953E-1,-9.140150547E-1,7.677720487E-2
3.262205910E-1,1.309939474E-1,-9.054629803E-1,7.616634667E-2
3.282219570E-1,1.322156638E-1,-9.011868834E-1,7.372288406E-2
3.302235570E-1,1.309939474E-1,-8.908022046E-1,7.799893618E-2
3.322249570E-1,1.291613430E-1,-8.810282946E-1,7.922067493E-2
