"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
1.386498280E-1,9.905115128E0,2.537931204E-1,-3.924216509E0
1.406513280E-1,9.905115128E0,2.537931204E-1,-3.924216509E0
1.426526610E-1,9.905115128E0,2.537931204E-1,-3.924216509E0
1.446541610E-1,1.203601933E1,4.836435020E-1,-5.655277252E0
1.466555610E-1,1.202404785E1,4.549122155E-1,-5.638517380E0
1.486568940E-1,1.202644253E1,4.429408312E-1,-5.621757030E0
1.506583220E-1,1.201207638E1,4.525179267E-1,-5.609786034E0
1.526596970E-1,1.198813438E1,4.477293789E-1,-5.590631485E0
1.546612520E-1,1.197376823E1,4.381522834E-1,-5.559505939E0
1.566626520E-1,1.197137451E1,4.213923812E-1,-5.535563469E0
1.586640150E-1,1.196179676E1,4.118152559E-1,-5.490072250E0
1.606653480E-1,1.195221996E1,3.663240373E-1,-5.430215359E0
1.626667320E-1,1.195461369E1,3.471698463E-1,-5.411061287E0
1.646680890E-1,1.196658516E1,3.064671755E-1,-5.360781193E0
1.666694890E-1,1.198573971E1,2.633702159E-1,-5.339232922E0
1.686708640E-1,1.200010490E1,2.657645047E-1,-5.303318501E0
1.706722160E-1,1.199771118E1,2.226675600E-1,-5.243461609E0
1.726838270E-1,1.200728798E1,1.771763414E-1,-5.190787792E0
1.746851950E-1,1.201447105E1,1.460507661E-1,-5.159662247E0
1.766918450E-1,1.202644253E1,1.125309169E-1,-5.102199554E0
1.786932250E-1,1.201925945E1,1.053480953E-1,-5.095016956E0
1.806945880E-1,1.205038548E1,6.464541703E-2,-5.073468208E0
1.826959350E-1,1.205038548E1,4.309694469E-2,-5.020794392E0
1.846973100E-1,1.204799080E1,4.070267081E-2,-5.018400192E0
1.866986700E-1,1.206235695E1,1.915419847E-2,-4.958543301E0
1.887003620E-1,1.207911682E1,1.675992459E-2,-4.896292210E0
1.907017320E-1,1.209108734E1,-2.394274808E-3,-4.874743462E0
1.927030890E-1,1.209108734E1,0.000000000E0,-4.798126698E0
1.947041920E-1,1.208629894E1,-7.182824425E-3,-4.776578426E0
1.967055580E-1,1.209348202E1,-1.675992459E-2,-4.702355862E0
1.987069240E-1,1.209108734E1,-2.394274808E-3,-4.659258842E0
2.007082570E-1,1.207193375E1,7.182824425E-3,-4.649681568E0
2.027096230E-1,1.208869362E1,4.788549617E-3,-4.625739098E0
2.047109560E-1,1.207911682E1,9.577099234E-3,-4.585036278E0
2.067122890E-1,1.208390522E1,7.182824425E-3,-4.577853203E0
2.087133890E-1,1.205996227E1,7.182824425E-3,-4.537150860E0
2.107147220E-1,1.203362560E1,1.915419847E-2,-4.510813713E0
2.127167880E-1,1.202404785E1,2.154847234E-2,-4.482082367E0
2.147180880E-1,1.199292278E1,3.830839694E-2,-4.458139896E0
2.167192540E-1,1.198573971E1,5.267404765E-2,-4.431802750E0
2.187205870E-1,1.191870022E1,6.943397224E-2,-4.374340057E0
2.207219530E-1,1.186602592E1,8.379961550E-2,-4.316877365E0
2.227232860E-1,1.183250618E1,1.005595401E-1,-4.304905891E0
2.247279860E-1,1.178462029E1,1.292908341E-1,-4.261809349E0
2.267293190E-1,1.169603252E1,1.843591630E-1,-4.223500729E0
2.287304190E-1,1.167448425E1,1.939362586E-1,-4.221106529E0
2.307317520E-1,1.158589554E1,2.106961906E-1,-4.187586784E0
2.347282850E-1,1.146139336E1,2.609759569E-1,-4.130124092E0
2.387274510E-1,1.126266861E1,2.944957912E-1,-4.015198708E0
2.407285510E-1,1.121717739E1,3.040728867E-1,-3.993650436E0
2.427299170E-1,1.113337803E1,2.921015322E-1,-3.952947617E0
2.447312500E-1,1.108788681E1,3.136500120E-1,-3.912245035E0
2.467325830E-1,1.102324104E1,3.112557232E-1,-3.861965179E0
2.487336490E-1,1.093704700E1,3.016786277E-1,-3.811685562E0
2.507349820E-1,1.087719059E1,2.944957912E-1,-3.768588543E0
2.527363150E-1,1.081015110E1,2.968900800E-1,-3.727885962E0
2.547379150E-1,1.072874546E1,2.777358890E-1,-3.677606106E0
2.567392480E-1,1.069043732E1,2.825244367E-1,-3.658451796E0
2.587405480E-1,1.060903168E1,2.681587934E-1,-3.593806505E0
2.607419140E-1,1.054438591E1,2.466102988E-1,-3.538738251E0
2.627432470E-1,1.048692322E1,2.490045726E-1,-3.495641232E0
2.647445800E-1,1.041749001E1,2.202732861E-1,-3.440572977E0
2.667459460E-1,1.037678719E1,2.083019018E-1,-3.421418667E0
2.687475460E-1,1.030256462E1,1.819648892E-1,-3.335224867E0
2.707488790E-1,1.025467873E1,1.460507661E-1,-3.304099321E0
2.727495120E-1,1.020200539E1,1.532335877E-1,-3.284945011E0
2.747508450E-1,1.012059975E1,1.268965602E-1,-3.232270956E0
2.767523450E-1,1.007750225E1,9.577099234E-2,-3.189173937E0
2.787537110E-1,1.005356026E1,1.005595401E-1,-3.179596901E0
2.807582440E-1,9.984126091E0,6.943397224E-2,-3.160442829E0
2.827595770E-1,9.929058075E0,5.267404765E-2,-3.117345810E0
2.867589100E-1,9.866806030E0,3.351984918E-2,-3.055094719E0
2.887604760E-1,9.821314812E0,1.675992459E-2,-3.062277555E0
2.907618420E-1,9.794978142E0,1.197137404E-2,-3.021574736E0
2.927631750E-1,9.727938652E0,7.182824425E-3,-2.990449190E0
2.947645080E-1,9.692024231E0,-1.675992459E-2,-2.983266354E0
2.967658410E-1,9.641744614E0,-2.394274808E-2,-2.952140808E0
2.987671740E-1,9.610619545E0,-3.830839694E-2,-2.932986736E0
3.007687400E-1,9.584281921E0,-7.661679387E-2,-2.923409462E0
3.027700730E-1,9.572310448E0,-1.245022863E-1,-2.889889717E0
3.047714060E-1,9.584281921E0,-1.388679445E-1,-2.877918243E0
3.067727720E-1,9.574705124E0,-1.580221355E-1,-2.837215662E0
3.087741050E-1,9.565128326E0,-1.843591630E-1,-2.813272953E0
3.107778050E-1,9.560338974E0,-2.322446555E-1,-2.782147408E0
3.127791710E-1,9.557945251E0,-2.346389294E-1,-2.772570133E0
3.147802710E-1,9.541185379E0,-2.681587934E-1,-2.707924843E0
3.167816040E-1,9.548367500E0,-2.753416002E-1,-2.674404860E0
3.187829700E-1,9.534002304E0,-2.944957912E-1,-2.604970932E0
3.207843030E-1,9.526819229E0,-3.064671755E-1,-2.549902678E0
3.227856360E-1,9.493299484E0,-3.184385598E-1,-2.528354168E0
3.247870020E-1,9.454991341E0,-3.447755575E-1,-2.437371731E0
3.267881020E-1,9.433443069E0,-3.543526828E-1,-2.370332003E0
3.287894350E-1,9.426259995E0,-3.543526828E-1,-2.312869549E0
3.307908010E-1,9.380768776E0,-3.471698463E-1,-2.248224020E0
3.327921340E-1,9.337671280E0,-3.423812985E-1,-2.171607256E0
3.347934670E-1,9.320911407E0,-3.256213665E-1,-2.164424419E0
3.367948330E-1,9.265843391E0,-3.064671755E-1,-2.154847383E0
3.387968990E-1,9.222746849E0,-2.992843390E-1,-2.138087511E0
3.427971320E-1,9.143735886E0,-2.968900800E-1,-2.114144564E0
3.447984650E-1,9.134158134E0,-2.849186957E-1,-2.121327400E0
3.467997980E-1,9.095849991E0,-2.944957912E-1,-2.128510237E0
3.488012310E-1,9.021627426E0,-2.825244367E-1,-2.154847383E0
3.508025640E-1,8.985713005E0,-2.897072434E-1,-2.159635782E0
3.528038970E-1,8.925856590E0,-2.753416002E-1,-2.164424419E0
3.548052630E-1,8.856422424E0,-2.705530524E-1,-2.174001455E0
3.568065960E-1,8.818114281E0,-2.849186957E-1,-2.171607256E0
3.588079290E-1,8.760651588E0,-2.801301479E-1,-2.157241583E0
3.608092950E-1,8.700794220E0,-3.112557232E-1,-2.145270348E0
3.628106280E-1,8.672063828E0,-3.112557232E-1,-2.135693073E0
3.648117280E-1,8.609811783E0,-3.375927508E-1,-2.130904675E0
3.668130610E-1,8.597841263E0,-3.399870098E-1,-2.109356165E0
3.688143940E-1,8.542772293E0,-3.447755575E-1,-2.080624819E0
3.728146930E-1,8.504464149E0,-3.543526828E-1,-2.032739401E0
3.748162590E-1,8.473338127E0,-3.543526828E-1,-1.958516836E0
3.768176250E-1,8.411087036E0,-3.567469418E-1,-1.903448462E0
3.788189580E-1,8.334470749E0,-3.735068738E-1,-1.817254543E0
3.808202910E-1,8.308133125E0,-4.046324492E-1,-1.788523316E0
3.828216570E-1,8.312922478E0,-3.759011328E-1,-1.786128998E0
3.848227570E-1,8.312922478E0,-3.471698463E-1,-1.786128998E0
3.868243230E-1,8.209968567E0,-3.040728867E-1,-1.766974807E0
3.888256890E-1,8.121379852E0,-3.136500120E-1,-1.738243461E0
3.908270220E-1,8.118986130E0,-3.208328187E-1,-1.723877907E0
3.928283550E-1,8.147717476E0,-3.160442710E-1,-1.649655342E0
3.948297210E-1,8.169265747E0,-4.022381604E-1,-1.539518714E0
3.968310540E-1,8.123774529E0,-5.123748183E-1,-1.268965602E0
3.988383200E-1,7.934626579E0,-4.022381604E-1,-1.185166001E0
4.008396860E-1,7.960963726E0,-3.687183261E-1,-1.166011810E0
4.028402860E-1,8.092648506E0,-3.208328187E-1,-1.197137356E0
4.048416190E-1,8.126168251E0,-3.160442710E-1,-1.276148438E0
4.068429850E-1,8.126168251E0,-3.016786277E-1,-1.292908430E0
4.088442510E-1,8.068706512E0,-2.968900800E-1,-1.379102230E0
4.108455840E-1,8.051946640E0,-3.208328187E-1,-1.450930476E0
4.128469500E-1,8.056735039E0,-3.759011328E-1,-1.448536277E0
4.148482830E-1,8.001666069E0,-3.878725171E-1,-1.424593568E0
4.168496160E-1,7.992089272E0,-3.974496126E-1,-1.429382086E0
4.188507490E-1,8.025609016E0,-4.237866402E-1,-1.326428294E0
4.208518490E-1,8.049551964E0,-4.381522834E-1,-1.297696948E0
4.228531820E-1,8.042368889E0,-3.974496126E-1,-1.333611012E0
4.248555150E-1,8.071100235E0,-3.974496126E-1,-1.302485466E0
4.268568480E-1,8.121379852E0,-3.950553536E-1,-1.256994247E0
4.288581810E-1,8.150111198E0,-4.166038036E-1,-1.189954638E0
4.308595470E-1,8.166871071E0,-4.285751879E-1,-1.041509509E0
4.328606470E-1,8.212362289E0,-4.166038036E-1,-9.624984860E-1
4.348619800E-1,8.286584854E0,-3.902668059E-1,-1.003201127E0
4.368633130E-1,8.444606781E0,-2.801301479E-1,-1.067846537E0
4.388646460E-1,8.475732803E0,-2.490045726E-1,-1.041509509E0
4.408659790E-1,8.454184532E0,-2.394274771E-1,-1.005595446E0
4.428673120E-1,8.485309601E0,-2.298503816E-1,-9.122186899E-1
4.448688780E-1,8.530800819E0,-2.059076279E-1,-8.858816624E-1
4.468702440E-1,8.602629662E0,-1.436564922E-1,-9.026415944E-1
4.488715770E-1,8.638543129E0,-9.337671846E-2,-9.601042271E-1
4.508729100E-1,8.640937805E0,-8.858817071E-2,-9.840469360E-1
4.528742760E-1,8.648120880E0,-6.225114316E-2,-9.553156495E-1
4.548756090E-1,8.676852226E0,-2.154847234E-2,-9.624984860E-1
4.568769420E-1,8.684034348E0,2.394274808E-3,-9.385557175E-1
4.608729750E-1,8.930644989E0,1.675992310E-1,-9.002473354E-1
4.628743080E-1,8.968953133E0,2.106961906E-1,-9.840469360E-1
4.648756740E-1,8.961771011E0,2.777358890E-1,-1.022355318E0
4.668777400E-1,8.921068192E0,2.921015322E-1,-1.024749637E0
4.688788400E-1,8.865999222E0,2.753416002E-1,-9.936240315E-1
4.708802060E-1,8.810931206E0,2.992843390E-1,-9.529213905E-1
4.728815390E-1,8.803748131E0,2.873129845E-1,-9.241901040E-1
4.748828720E-1,8.786988258E0,2.777358890E-1,-8.427847624E-1
4.768842380E-1,8.772623062E0,2.609759569E-1,-7.661679387E-1
4.788858040E-1,8.779806137E0,2.490045726E-1,-6.991282701E-1
4.808873700E-1,8.784594536E0,2.083019018E-1,-5.770202279E-1
4.828887360E-1,8.801354408E0,1.939362586E-1,-5.051919818E-1
4.848893360E-1,8.813325882E0,2.083019018E-1,-4.908263385E-1
4.868906690E-1,8.818114281E0,1.747820675E-1,-4.213923812E-1
4.888920350E-1,8.854028702E0,1.675992310E-1,-3.759011328E-1
4.908933680E-1,8.844450951E0,1.340793967E-1,-2.897072434E-1
4.928949340E-1,8.863605499E0,1.029538140E-1,-1.987248063E-1
4.948963000E-1,8.887548447E0,9.577099234E-2,-1.029538140E-1
4.968976330E-1,8.885153770E0,9.816526622E-2,-5.506832153E-2
4.988989660E-1,8.945011139E0,6.225114316E-2,9.577099234E-3
5.009003320E-1,8.940221786E0,5.506832153E-2,5.027977005E-2
5.029014320E-1,8.961771011E0,4.070267081E-2,1.029538140E-1
5.049056320E-1,8.983319283E0,4.549122229E-2,1.436564922E-1
5.069066980E-1,9.007262230E0,4.070267081E-2,2.130904645E-1
5.089080310E-1,9.021627426E0,2.873129770E-2,3.064671755E-1
5.109093640E-1,9.035993576E0,0.000000000E0,3.711125851E-1
5.129106970E-1,9.033598900E0,-2.633702382E-2,4.956148863E-1
5.149120300E-1,9.081484795E0,-6.703969836E-2,6.033572555E-1
5.169133630E-1,9.086273193E0,-8.379961550E-2,6.512427330E-1
5.189146960E-1,9.083878517E0,-9.816526622E-2,7.470137477E-1
5.209160290E-1,9.105426788E0,-1.436564922E-1,8.044763207E-1
5.229173950E-1,9.098244667E0,-1.580221355E-1,8.547561169E-1
5.249184950E-1,9.122186661E0,-1.939362586E-1,8.643332124E-1
5.269190950E-1,9.124581337E0,-2.083019018E-1,8.930644989E-1
5.289206950E-1,9.129369736E0,-2.346389294E-1,8.978530765E-1
5.309220280E-1,9.119792938E0,-2.537931204E-1,9.122186899E-1
5.329233610E-1,9.119792938E0,-2.921015322E-1,9.337671995E-1
5.349252610E-1,9.122186661E0,-3.088614643E-1,9.505270720E-1
5.369265940E-1,9.143735886E0,-3.112557232E-1,9.648927450E-1
5.389279270E-1,9.122186661E0,-2.968900800E-1,1.000806928E0
5.409292930E-1,9.136552811E0,-2.921015322E-1,1.041509509E0
5.429306260E-1,9.119792938E0,-3.064671755E-1,1.082212210E0
5.449319590E-1,9.093455315E0,-3.160442710E-1,1.094183564E0
5.469333250E-1,9.098244667E0,-3.136500120E-1,1.125309110E0
5.489346580E-1,9.081484795E0,-3.160442710E-1,1.158828974E0
5.509359910E-1,9.095849991E0,-3.208328187E-1,1.163617611E0
5.529395240E-1,9.081484795E0,-3.136500120E-1,1.163617611E0
5.549408570E-1,9.081484795E0,-3.112557232E-1,1.175588965E0
5.569419570E-1,9.095849991E0,-3.136500120E-1,1.173194647E0
5.589433230E-1,9.088666916E0,-3.112557232E-1,1.166011810E0
5.609446560E-1,9.086273193E0,-3.208328187E-1,1.149251938E0
5.629462220E-1,9.079090118E0,-3.136500120E-1,1.103760719E0
5.669463220E-1,9.062330246E0,-3.040728867E-1,1.019961119E0
5.689476550E-1,9.062330246E0,-2.897072434E-1,9.481328130E-1
5.709490210E-1,9.062330246E0,-3.112557232E-1,8.954587579E-1
5.729503540E-1,9.062330246E0,-3.088614643E-1,8.715160489E-1
5.749516870E-1,9.067118645E0,-3.304099143E-1,8.403904438E-1
5.769542870E-1,9.035993576E0,-3.375927508E-1,8.164477348E-1
5.789556200E-1,9.064723969E0,-3.591412306E-1,8.092648983E-1
5.809569530E-1,9.047964096E0,-3.854782581E-1,7.972934842E-1
5.829582860E-1,9.035993576E0,-4.166038036E-1,7.925049663E-1
5.849598520E-1,9.045570374E0,-4.333637357E-1,7.589851022E-1
5.869611850E-1,9.031204224E0,-4.453351200E-1,7.039167881E-1
5.889625180E-1,8.990502357E0,-4.644893110E-1,6.751855016E-1
5.909638510E-1,8.918673515E0,-4.764606953E-1,6.799740195E-1
5.929652170E-1,8.849239349E0,-5.051919818E-1,6.967339516E-1
5.949660170E-1,8.858817101E0,-5.004034638E-1,6.608198285E-1
5.969673500E-1,8.887548447E0,-4.932205975E-1,6.320885420E-1
5.989687160E-1,8.904308319E0,-4.788549542E-1,6.153286099E-1
6.009700490E-1,8.904308319E0,-4.764606953E-1,5.961744189E-1
6.029713820E-1,8.882759094E0,-4.477293789E-1,5.554717779E-1
6.049727480E-1,8.842057228E0,-4.429408312E-1,5.482889414E-1
6.069740810E-1,8.806142807E0,-4.429408312E-1,5.219519138E-1
6.089754140E-1,8.655303001E0,-4.597007632E-1,5.722316504E-1
6.109767800E-1,8.676852226E0,-4.477293789E-1,5.746259689E-1
6.149815460E-1,8.763046265E0,-4.046324492E-1,5.698373914E-1
6.169831460E-1,8.741497040E0,-3.902668059E-1,5.746259689E-1
6.189844790E-1,8.688823700E0,-3.854782581E-1,6.009629965E-1
6.209855790E-1,8.636149406E0,-4.022381604E-1,6.249057055E-1
6.229869450E-1,8.624177933E0,-4.118152559E-1,6.632141471E-1
6.249882780E-1,8.607418060E0,-4.142095447E-1,7.110996246E-1
6.269893780E-1,8.614601135E0,-4.118152559E-1,7.709565163E-1
6.289907440E-1,8.616994858E0,-4.333637357E-1,7.877163887E-1
6.309920770E-1,8.645726204E0,-4.309694767E-1,8.595446348E-1
6.329934100E-1,8.648120880E0,-4.261809289E-1,8.882759809E-1
6.350009760E-1,8.657697678E0,-4.525179267E-1,9.529213905E-1
6.370016090E-1,8.660092354E0,-4.453351200E-1,9.960182905E-1
6.390029420E-1,8.655303001E0,-4.620950520E-1,1.029538155E0
6.410043080E-1,8.684034348E0,-4.549122155E-1,1.077423692E0
6.430056410E-1,8.691217422E0,-4.501236677E-1,1.118126392E0
6.450069740E-1,8.715160370E0,-4.477293789E-1,1.144463301E0
6.470083400E-1,8.710371971E0,-4.716721475E-1,1.173194647E0
6.490096730E-1,8.746285439E0,-4.573064744E-1,1.199531674E0
