"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
0.000000000E0,4.180761799E-2,2.366308868E-2,-8.265862614E-2
2.001000000E-3,3.997502103E-2,6.214759871E-2,-7.899343222E-2
4.002333000E-3,3.997502103E-2,9.757778049E-2,-7.410650700E-2
6.003583000E-3,3.692069650E-2,1.165146008E-1,-7.471737266E-2
8.004783000E-3,3.630983084E-2,1.476687342E-1,-7.227391005E-2
1.000478300E-2,3.814242408E-2,1.800445914E-1,-7.166304439E-2
1.200606800E-2,4.058588669E-2,1.989814192E-1,-7.593910396E-2
1.400731800E-2,4.180761799E-2,2.258594781E-1,-7.777170092E-2
1.602998400E-2,4.852713272E-2,2.447963059E-1,-7.349564135E-2
1.803128400E-2,5.280319229E-2,2.570136189E-1,-7.777170092E-2
2.003255600E-2,6.318789721E-2,2.771721482E-1,-8.204775304E-2
2.203388900E-2,6.685309857E-2,2.857242823E-1,-8.143688738E-2
2.403519600E-2,8.029212803E-2,2.997741699E-1,-8.143688738E-2
2.603655300E-2,9.678549320E-2,3.150458038E-1,-8.082602918E-2
2.803788600E-2,9.922894835E-2,3.290956914E-1,-7.777170092E-2
3.003919800E-2,1.108353883E-1,3.413130045E-1,-7.838255912E-2
3.204055000E-2,1.206092387E-1,3.596389890E-1,-6.983045489E-2
3.404188300E-2,1.242744252E-1,3.700236678E-1,-6.677612662E-2
3.604319800E-2,1.340482682E-1,3.865170181E-1,-6.311093271E-2
3.804454800E-2,1.450438350E-1,4.011777937E-1,-5.822401121E-2
4.004588100E-2,1.432112455E-1,4.054538608E-1,-5.394795164E-2
4.204719900E-2,1.535959691E-1,4.152277112E-1,-5.333708972E-2
4.404854600E-2,1.517633647E-1,4.286667407E-1,-5.150449276E-2
4.604987900E-2,1.542068124E-1,4.451600909E-1,-4.111978039E-2
4.805119900E-2,1.456547081E-1,4.665403664E-1,-3.195680305E-2
5.005254500E-2,1.407677978E-1,4.708164334E-1,-3.012420796E-2
5.205387800E-2,1.383243203E-1,4.928075969E-1,-1.851776801E-2
5.405519900E-2,1.242744252E-1,5.160204172E-1,-1.973949932E-2
5.605626700E-2,1.187766418E-1,5.245725513E-1,-1.485257689E-2
5.805760000E-2,1.004506871E-1,5.465637445E-1,-8.133059368E-3
6.005893300E-2,9.189856797E-2,5.655005574E-1,-3.857003292E-3
6.206289900E-2,8.334644884E-2,5.752744079E-1,-2.635272685E-3
6.406423200E-2,7.418347150E-2,5.936003327E-1,3.473379882E-3
6.606556500E-2,7.357260585E-2,6.082611084E-1,4.084245302E-3
6.807049800E-2,5.402491987E-2,6.302522421E-1,1.263635792E-2
7.007209800E-2,4.547280818E-2,6.577411890E-1,1.996674202E-2
7.207343100E-2,4.058588669E-2,6.638498306E-1,2.302106842E-2
7.407479700E-2,2.653598599E-2,6.907278895E-1,3.279491141E-2
7.807106300E-2,1.187522057E-2,7.212711573E-1,3.768183663E-2
8.007242900E-2,2.101376420E-3,7.420405746E-1,4.195788875E-2
8.207376200E-2,-1.133765932E-2,7.567013502E-1,4.562308267E-2
8.407522800E-2,-1.561371610E-2,7.634208798E-1,4.928827286E-2
8.607629400E-2,-1.805717684E-2,7.756381631E-1,4.623394832E-2
8.807762700E-2,-3.088534810E-2,7.921316028E-1,5.112086982E-2
9.007872700E-2,-3.271793947E-2,7.976293564E-1,5.478606001E-2
9.208006000E-2,-3.760486469E-2,8.098466992E-1,5.356433243E-2
9.408139300E-2,-4.188092053E-2,8.122900724E-1,5.356433243E-2
9.608275900E-2,-4.798957333E-2,8.183987141E-1,5.234259740E-2
9.808409200E-2,-4.921130463E-2,8.269508481E-1,6.028384715E-2
1.000854250E-1,-4.982217029E-2,8.238965273E-1,5.722952262E-2
1.020867910E-1,-5.226562917E-2,8.226748109E-1,5.051000044E-2
1.040881240E-1,-5.043303221E-2,8.220639825E-1,5.417519435E-2
1.060892240E-1,-4.554611072E-2,8.196204901E-1,5.234259740E-2
1.080962900E-1,-4.798957333E-2,8.202313781E-1,5.234259740E-2
1.100987900E-1,-4.921130463E-2,8.135118484E-1,4.562308267E-2
1.121001230E-1,-4.554611072E-2,8.129010201E-1,4.379048571E-2
1.141014890E-1,-4.493524879E-2,8.043488860E-1,4.134702682E-2
1.161030890E-1,-4.127005860E-2,7.994619608E-1,3.829269856E-2
